CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.bcel.generic.ISTORE;0.0;7.0;4.0;3.0;0.0;0.0;31.0;1.0;0.0;7.0;10.0
org.apache.bcel.util.ClassLoaderRepository;0.0;21.0;1.0;21.0;8.0;15.0;83.0;0.6428571428571428;0.75;19.0;2.0
org.apache.bcel.generic.LXOR;0.0;6.0;3.0;6.0;0.0;0.0;22.0;1.0;0.0;6.0;7.0
org.apache.bcel.generic.FDIV;0.0;6.0;3.0;6.0;0.0;0.0;24.0;1.0;0.0;6.0;7.0
org.apache.bcel.generic.InstructionList;0.0;46.0;1.0;135.0;211.0;1542.0;1210.0;0.8262295081967213;0.84;42.0;14.0
org.apache.bcel.classfile.ConstantLong;0.0;15.0;2.0;12.0;3.0;5.0;89.0;0.16666666666666663;0.2;15.0;16.0
org.apache.bcel.generic.ReturnaddressType;0.0;10.0;2.0;5.0;14.0;0.0;55.0;0.5;0.75;10.0;6.0
org.apache.bcel.Const;0.0;10.0;1.0;17.0;15.0;104.0;2300.0;0.9974226804123711;1.0686671575846833;10.0;259.0
org.apache.bcel.generic.INVOKESTATIC;0.0;15.0;5.0;17.0;1.0;3.0;52.0;1.0;0.0;15.0;8.0
org.apache.bcel.generic.FREM;0.0;6.0;3.0;6.0;0.0;0.0;24.0;1.0;0.0;6.0;7.0
org.apache.bcel.generic.LLOAD;0.0;7.0;4.0;3.0;0.0;0.0;28.0;1.0;0.0;7.0;8.0
org.apache.bcel.verifier.exc.VerificationException;2.0;5.0;4.0;0.0;0.0;0.0;21.0;1.0;0.0;5.0;3.0
org.apache.bcel.generic.ConstantPoolGen;0.0;49.0;1.0;83.0;120.0;284.0;782.0;0.8544698544698545;0.8782051282051282;48.0;68.0
org.apache.bcel.generic.SALOAD;0.0;7.0;3.0;6.0;0.0;0.0;22.0;1.0;0.0;7.0;7.0
org.apache.bcel.generic.IF_ICMPEQ;0.0;9.0;4.0;7.0;1.0;1.0;38.0;1.0;0.0;9.0;8.0
org.apache.bcel.util.ClassLoader;0.0;29.0;2.0;27.0;18.0;2.0;134.0;0.6666666666666667;1.0;27.0;1.0
org.apache.bcel.classfile.ClassFormatException;0.0;5.0;3.0;0.0;0.0;0.0;18.0;1.0;0.0;5.0;13.0
org.apache.bcel.util.ClassPath$PathEntry;0.0;8.0;1.0;3.0;0.0;3.0;4.0;1.0;0.0;0.0;1.0
org.apache.bcel.generic.MethodGen;0.0;77.0;3.0;168.0;180.0;2222.0;1219.0;0.9333333333333333;0.9468599033816425;68.0;11.0
org.apache.bcel.generic.IFEQ;0.0;9.0;4.0;7.0;1.0;1.0;38.0;1.0;0.0;9.0;8.0
org.apache.bcel.generic.IF_ICMPGE;0.0;9.0;4.0;7.0;1.0;1.0;38.0;1.0;0.0;9.0;8.0
org.apache.bcel.generic.CHECKCAST;0.0;21.0;3.0;13.0;3.0;3.0;55.0;1.0;0.0;21.0;9.0
org.apache.bcel.generic.SIPUSH;0.0;19.0;2.0;17.0;3.0;9.0;77.0;0.33333333333333337;0.4;19.0;7.0
org.apache.bcel.util.Class2HTML;0.0;30.0;1.0;25.0;42.0;7.0;180.0;0.7333333333333334;0.9166666666666667;29.0;5.0
org.apache.bcel.classfile.MethodParameters;0.0;13.0;2.0;11.0;5.0;4.0;52.0;0.19999999999999996;0.25;13.0;6.0
org.apache.bcel.classfile.SourceFile;0.0;13.0;2.0;15.0;4.0;15.0;114.0;0.4285714285714286;0.5;13.0;10.0
org.apache.bcel.classfile.ParameterAnnotations;2.0;14.0;2.0;10.0;4.0;9.0;92.0;0.33333333333333337;0.4;14.0;9.0
org.apache.bcel.util.ByteSequence;0.0;9.0;3.0;4.0;1.0;0.0;36.0;0.0;0.0;9.0;23.0
org.apache.bcel.generic.BasicType;0.0;10.0;2.0;4.0;23.0;3.0;56.0;1.0;0.0;10.0;6.0
org.apache.bcel.generic.ConversionInstruction;15.0;13.0;2.0;2.0;24.0;0.0;50.0;1.0;0.0;13.0;20.0
org.apache.bcel.generic.FADD;0.0;6.0;3.0;6.0;0.0;0.0;24.0;1.0;0.0;6.0;7.0
org.apache.bcel.util.ClassSet;0.0;12.0;1.0;14.0;5.0;0.0;35.0;0.0;0.0;10.0;1.0
org.apache.bcel.verifier.exc.StaticCodeConstraintException;2.0;4.0;6.0;0.0;0.0;0.0;5.0;1.0;0.0;4.0;4.0
org.apache.bcel.generic.GETFIELD;0.0;15.0;5.0;14.0;2.0;3.0;49.0;1.0;0.0;15.0;7.0
org.apache.bcel.generic.LocalVariableInstruction;3.0;19.0;2.0;19.0;59.0;12.0;200.0;0.5925925925925926;0.6666666666666667;19.0;16.0
org.apache.bcel.generic.GOTO_W;0.0;15.0;4.0;15.0;0.0;3.0;52.0;1.0;0.0;15.0;7.0
org.apache.bcel.generic.INVOKEDYNAMIC;0.0;27.0;5.0;31.0;4.0;21.0;103.0;1.0;0.0;26.0;8.0
org.apache.bcel.generic.InstructionHandle;1.0;24.0;1.0;42.0;38.0;243.0;278.0;0.8228571428571428;0.8571428571428571;22.0;49.0
org.apache.bcel.verifier.exc.LinkingConstraintException;0.0;3.0;7.0;0.0;0.0;0.0;2.0;1.0;0.0;3.0;1.0
org.apache.bcel.generic.ConstantPoolGen$Index;0.0;4.0;1.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;1.0
org.apache.bcel.verifier.exc.VerifierConstraintViolatedException;2.0;9.0;3.0;2.0;7.0;0.0;53.0;0.5;1.0;9.0;8.0
