CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.beanutils.BeanComparator;0.0;22.0;1.0;13.0;22.0;9.0;190.0;0.4285714285714286;0.5;18.0;1.0
org.apache.commons.beanutils.BeanUtilsBean2;0.0;7.0;2.0;3.0;1.0;0.0;21.0;1.0;0.0;7.0;1.0
org.apache.commons.beanutils.ConvertUtilsBean;1.0;65.0;1.0;72.0;77.0;510.0;770.0;0.9318181818181819;0.9609375;63.0;6.0
org.apache.commons.beanutils.converters.DateTimeConverter;5.0;31.0;2.0;65.0;107.0;100.0;554.0;0.7;0.7411764705882353;29.0;6.0
org.apache.commons.beanutils.converters.LongConverter;0.0;7.0;3.0;1.0;1.0;0.0;32.0;1.0;0.0;7.0;2.0
org.apache.commons.beanutils.WeakFastHashMap$Values;0.0;11.0;2.0;4.0;2.0;1.0;10.0;1.0;0.0;0.0;1.0
org.apache.commons.beanutils.locale.converters.StringLocaleConverter;0.0;25.0;2.0;13.0;18.0;1.0;246.0;0.5;1.0;25.0;2.0
org.apache.commons.beanutils.WeakFastHashMap;0.0;45.0;3.0;41.0;84.0;140.0;695.0;0.40909090909090906;0.42857142857142855;23.0;4.0
org.apache.commons.beanutils.converters.BooleanArrayConverter;0.0;16.0;2.0;8.0;22.0;0.0;202.0;0.33333333333333337;0.33333333333333337;16.0;1.0
org.apache.commons.beanutils.MethodUtils;0.0;44.0;1.0;86.0;218.0;432.0;1318.0;0.8774193548387097;0.9066666666666666;41.0;6.0
org.apache.commons.beanutils.ContextClassLoaderLocal;0.0;12.0;1.0;14.0;10.0;7.0;112.0;0.5333333333333333;0.6666666666666666;10.0;4.0
org.apache.commons.beanutils.BasicDynaClass;1.0;24.0;1.0;18.0;12.0;16.0;263.0;0.7551020408163265;0.8809523809523809;21.0;2.0
org.apache.commons.beanutils.converters.CharacterArrayConverter;0.0;14.0;2.0;7.0;22.0;0.0;109.0;0.0;0.0;14.0;1.0
org.apache.commons.beanutils.converters.DateConverter;0.0;6.0;3.0;1.0;1.0;0.0;31.0;1.0;0.0;6.0;2.0
org.apache.commons.beanutils.locale.converters.SqlTimestampLocaleConverter;0.0;11.0;3.0;3.0;1.0;0.0;184.0;1.0;0.0;11.0;2.0
org.apache.commons.beanutils.BaseDynaBeanMapDecorator$MapEntry;0.0;13.0;1.0;9.0;10.0;5.0;29.0;0.4;0.5;0.0;1.0
org.apache.commons.beanutils.locale.LocaleBeanUtils;0.0;16.0;2.0;56.0;20.0;300.0;731.0;1.0;0.0;16.0;1.0
org.apache.commons.beanutils.converters.SqlTimeConverter;0.0;11.0;3.0;5.0;6.0;1.0;54.0;1.0;0.0;11.0;2.0
org.apache.commons.beanutils.ResultSetIterator;0.0;18.0;1.0;19.0;13.0;69.0;318.0;0.7692307692307692;0.8333333333333334;18.0;2.0
org.apache.commons.beanutils.BeanIntrospectionData;0.0;14.0;1.0;13.0;13.0;6.0;105.0;0.75;1.0;13.0;2.0
org.apache.commons.beanutils.DefaultBeanIntrospector;0.0;23.0;1.0;24.0;19.0;0.0;131.0;0.5;1.0;22.0;2.0
org.apache.commons.beanutils.ConvertUtils;1.0;28.0;1.0;53.0;51.0;325.0;361.0;1.0;0.0;26.0;5.0
org.apache.commons.beanutils.converters.DoubleConverter;0.0;7.0;3.0;1.0;1.0;0.0;32.0;1.0;0.0;7.0;2.0
org.apache.commons.beanutils.locale.converters.DateLocaleConverter;3.0;24.0;2.0;22.0;40.0;12.0;339.0;0.7222222222222222;0.8666666666666666;24.0;4.0
org.apache.commons.beanutils.RowSetDynaClass;0.0;19.0;2.0;9.0;8.0;2.0;245.0;0.5;0.75;18.0;1.0
org.apache.commons.beanutils.converters.BigDecimalConverter;0.0;7.0;3.0;1.0;1.0;0.0;32.0;1.0;0.0;7.0;2.0
org.apache.commons.beanutils.DynaBeanPropertyMapDecorator;0.0;7.0;2.0;1.0;1.0;0.0;27.0;1.0;0.0;6.0;3.0
org.apache.commons.beanutils.MethodUtils$MethodDescriptor;0.0;11.0;1.0;4.0;8.0;1.0;62.0;0.5;1.0;0.0;1.0
org.apache.commons.beanutils.converters.BooleanConverter;0.0;13.0;2.0;8.0;12.0;3.0;193.0;0.7777777777777778;1.1666666666666667;11.0;3.0
org.apache.commons.beanutils.converters.ByteArrayConverter;0.0;15.0;2.0;7.0;22.0;0.0;108.0;0.0;0.0;15.0;1.0
org.apache.commons.beanutils.locale.converters.BigIntegerLocaleConverter;0.0;13.0;3.0;5.0;7.0;0.0;201.0;1.0;0.0;13.0;2.0
