CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.cli.AmbiguousOptionException;0.0;9.0;5.0;7.0;4.0;1.0;58.0;0.75;1.5;7.0;3.0
org.apache.commons.cli.UnrecognizedOptionException;1.0;4.0;4.0;1.0;1.0;0.0;44.0;0.5;0.5;4.0;4.0
org.apache.commons.cli.PosixParser;0.0;20.0;2.0;34.0;44.0;0.0;260.0;0.29166666666666663;0.35;18.0;1.0
org.apache.commons.cli.Option;0.0;26.0;1.0;76.0;75.0;825.0;972.0;0.9090909090909091;0.9302325581395349;25.0;12.0
org.apache.commons.cli.CommandLine$Builder;0.0;5.0;1.0;5.0;3.0;0.0;36.0;0.0;0.0;0.0;1.0
org.apache.commons.cli.MissingArgumentException;0.0;5.0;4.0;1.0;1.0;0.0;44.0;0.5;0.5;5.0;3.0
org.apache.commons.cli.DefaultParser;0.0;28.0;1.0;87.0;142.0;172.0;675.0;0.7763975155279503;0.8116883116883117;26.0;1.0
org.apache.commons.cli.PatternOptionBuilder;0.0;25.0;1.0;14.0;50.0;3.0;149.0;0.6666666666666667;1.0;16.0;2.0
org.apache.commons.cli.Options;0.0;26.0;1.0;43.0;29.0;106.0;323.0;0.788235294117647;0.8375;20.0;9.0
org.apache.commons.cli.HelpFormatter$OptionComparator;0.0;8.0;1.0;3.0;1.0;0.0;19.0;1.0;1.0;0.0;1.0
org.apache.commons.cli.OptionBuilder;0.0;12.0;1.0;31.0;21.0;51.0;362.0;0.7222222222222222;0.7602339181286549;12.0;1.0
org.apache.commons.cli.CommandLine;0.0;28.0;1.0;45.0;40.0;147.0;384.0;0.8245614035087719;0.8703703703703703;25.0;4.0
org.apache.commons.cli.Option$Builder;0.0;11.0;1.0;17.0;18.0;87.0;221.0;0.9047619047619048;0.9743589743589743;0.0;2.0
org.apache.commons.cli.Parser;3.0;28.0;1.0;56.0;59.0;71.0;395.0;0.7948717948717949;0.8611111111111112;25.0;4.0
org.apache.commons.cli.Util;0.0;7.0;1.0;7.0;16.0;1.0;46.0;1.0;0.0;7.0;6.0
org.apache.commons.cli.HelpFormatter;0.0;37.0;1.0;97.0;112.0;805.0;1020.0;0.9701897018970189;0.9944444444444445;33.0;1.0
org.apache.commons.cli.BasicParser;0.0;8.0;2.0;1.0;1.0;0.0;22.0;1.0;0.0;8.0;1.0
org.apache.commons.cli.MissingOptionException;0.0;12.0;4.0;9.0;5.0;1.0;67.0;0.75;1.5;10.0;3.0
org.apache.commons.cli.TypeHandler;0.0;23.0;1.0;24.0;45.0;36.0;205.0;1.0;0.0;22.0;2.0
org.apache.commons.cli.AlreadySelectedException;0.0;6.0;4.0;2.0;2.0;1.0;60.0;0.6666666666666667;1.3333333333333335;6.0;3.0
org.apache.commons.cli.OptionGroup;0.0;20.0;1.0;22.0;18.0;23.0;147.0;0.78125;0.8928571428571429;16.0;6.0
org.apache.commons.cli.ParseException;4.0;4.0;3.0;0.0;0.0;0.0;16.0;1.0;0.0;4.0;11.0
org.apache.commons.cli.GnuParser;0.0;13.0;2.0;11.0;19.0;0.0;83.0;1.0;0.0;12.0;1.0
org.apache.commons.cli.OptionValidator;0.0;10.0;1.0;9.0;15.0;3.0;72.0;1.0;0.0;10.0;2.0
