CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.codec.language.ColognePhonetic$CologneBuffer;0.0;7.0;1.0;4.0;2.0;2.0;25.0;0.6666666666666667;1.0;0.0;1.0
org.apache.commons.codec.binary.Base32InputStream;0.0;7.0;4.0;0.0;0.0;0.0;45.0;1.0;0.0;7.0;1.0
org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer;0.0;8.0;2.0;3.0;1.0;0.0;16.0;1.0;0.0;0.0;1.0
org.apache.commons.codec.binary.Base64;0.0;20.0;2.0;39.0;113.0;207.0;730.0;0.9413919413919414;0.9884615384615385;20.0;4.0
org.apache.commons.codec.language.Caverphone1;0.0;8.0;2.0;5.0;6.0;0.0;93.0;0.0;0.0;8.0;1.0
org.apache.commons.codec.language.Caverphone2;0.0;8.0;2.0;5.0;6.0;0.0;97.0;0.0;0.0;8.0;2.0
org.apache.commons.codec.language.Caverphone;0.0;9.0;1.0;7.0;5.0;6.0;68.0;0.75;1.0;9.0;1.0
org.apache.commons.codec.binary.BaseNCodec;6.0;23.0;1.0;39.0;75.0;211.0;510.0;0.9615384615384616;1.0073260073260073;23.0;5.0
org.apache.commons.codec.binary.BinaryCodec;0.0;13.0;1.0;17.0;63.0;42.0;264.0;0.9173553719008265;1.0090909090909093;13.0;1.0
org.apache.commons.codec.net.QuotedPrintableCodec;0.0;27.0;1.0;44.0;97.0;166.0;534.0;0.9122807017543859;0.9629629629629629;27.0;2.0
org.apache.commons.codec.cli.Digest;0.0;22.0;1.0;37.0;19.0;36.0;113.0;0.8888888888888888;1.0;22.0;1.0
org.apache.commons.codec.digest.Md5Crypt;0.0;16.0;1.0;28.0;29.0;19.0;253.0;0.7857142857142857;0.9166666666666666;16.0;2.0
org.apache.commons.codec.language.DaitchMokotoffSoundex$Rule;0.0;9.0;1.0;12.0;19.0;6.0;44.0;0.55;0.6875;0.0;1.0
org.apache.commons.codec.language.Nysiis;0.0;17.0;1.0;22.0;84.0;15.0;247.0;0.8333333333333334;1.0;17.0;1.0
org.apache.commons.codec.language.bm.Languages$LanguageSet;0.0;8.0;1.0;8.0;1.0;21.0;16.0;1.0;0.0;0.0;4.0
org.apache.commons.codec.language.bm.PhoneticEngine$PhonemeBuilder;0.0;18.0;1.0;18.0;15.0;4.0;94.0;0.19999999999999996;0.25;0.0;1.0
org.apache.commons.codec.language.bm.Languages;0.0;28.0;1.0;18.0;14.0;6.0;241.0;0.9;1.2;26.0;4.0
org.apache.commons.codec.language.Metaphone;0.0;14.0;1.0;31.0;191.0;54.0;376.0;0.8863636363636364;0.975;14.0;1.0
org.apache.commons.codec.language.DaitchMokotoffSoundex$Branch;0.0;12.0;1.0;14.0;21.0;9.0;79.0;0.5;0.6;0.0;1.0
org.apache.commons.codec.language.Soundex;0.0;15.0;1.0;14.0;37.0;25.0;304.0;0.9166666666666666;1.0476190476190477;15.0;1.0
org.apache.commons.codec.digest.PureJavaCrc32;0.0;9.0;1.0;6.0;12.0;4.0;589.0;0.4;0.5;9.0;1.0
org.apache.commons.codec.language.bm.BeiderMorseEncoder;0.0;13.0;1.0;14.0;9.0;8.0;104.0;0.11111111111111116;0.125;13.0;1.0
org.apache.commons.codec.language.ColognePhonetic$CologneInputBuffer;0.0;8.0;2.0;8.0;4.0;1.0;30.0;1.0;0.0;0.0;1.0
org.apache.commons.codec.language.bm.Rule$PhonemeList;0.0;7.0;1.0;1.0;1.0;0.0;10.0;0.0;0.0;0.0;1.0
org.apache.commons.codec.language.bm.Rule;0.0;59.0;1.0;71.0;137.0;181.0;645.0;0.9277777777777778;0.976608187134503;53.0;2.0
org.apache.commons.codec.language.bm.PhoneticEngine;0.0;46.0;1.0;53.0;49.0;29.0;475.0;0.8095238095238095;0.9107142857142857;37.0;2.0
org.apache.commons.codec.binary.BaseNCodecOutputStream;2.0;14.0;3.0;15.0;24.0;11.0;135.0;0.5833333333333333;0.7;14.0;3.0
org.apache.commons.codec.net.BCodec;0.0;18.0;2.0;24.0;41.0;54.0;204.0;0.8181818181818181;0.9;18.0;1.0
org.apache.commons.codec.binary.Base32;0.0;16.0;2.0;5.0;75.0;1.0;499.0;0.7380952380952381;1.1071428571428572;16.0;3.0
org.apache.commons.codec.binary.BaseNCodec$Context;0.0;12.0;1.0;5.0;1.0;0.0;61.0;0.0;0.0;0.0;5.0
org.apache.commons.codec.language.DaitchMokotoffSoundex;0.0;41.0;1.0;42.0;70.0;18.0;489.0;0.8888888888888888;1.037037037037037;35.0;1.0
org.apache.commons.codec.binary.Base64InputStream;0.0;7.0;4.0;0.0;0.0;0.0;44.0;1.0;0.0;7.0;1.0
org.apache.commons.codec.binary.Hex;0.0;19.0;1.0;43.0;42.0;227.0;451.0;0.9363636363636364;0.980952380952381;19.0;4.0
org.apache.commons.codec.binary.CharSequenceUtils;0.0;8.0;1.0;5.0;14.0;0.0;48.0;1.0;0.0;8.0;2.0
org.apache.commons.codec.digest.XXHash32;0.0;13.0;1.0;15.0;26.0;20.0;163.0;0.75;0.8571428571428571;13.0;1.0
org.apache.commons.codec.binary.Base64OutputStream;0.0;7.0;4.0;0.0;0.0;0.0;44.0;1.0;0.0;7.0;1.0
org.apache.commons.codec.language.RefinedSoundex;0.0;14.0;1.0;15.0;21.0;10.0;186.0;0.95;1.1875;14.0;1.0
org.apache.commons.codec.language.MatchRatingApproachEncoder;0.0;13.0;1.0;34.0;85.0;41.0;390.0;0.8506493506493507;0.9357142857142857;13.0;1.0
org.apache.commons.codec.digest.B64;0.0;9.0;1.0;7.0;5.0;0.0;45.0;0.0;0.0;9.0;4.0
org.apache.commons.codec.binary.BaseNCodecInputStream;2.0;18.0;3.0;14.0;40.0;19.0;176.0;0.8214285714285714;0.9583333333333334;18.0;3.0
org.apache.commons.codec.net.URLCodec;0.0;25.0;1.0;32.0;65.0;63.0;324.0;0.875;0.9545454545454546;25.0;1.0
org.apache.commons.codec.binary.StringUtils;0.0;14.0;1.0;30.0;46.0;190.0;380.0;1.0;0.0;14.0;10.0
org.apache.commons.codec.digest.DigestUtils;0.0;21.0;1.0;121.0;75.0;2541.0;1088.0;0.9513888888888888;0.9647887323943662;21.0;4.0
org.apache.commons.codec.language.ColognePhonetic;0.0;17.0;1.0;21.0;97.0;15.0;262.0;0.8333333333333334;1.0;17.0;1.0
org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult;0.0;10.0;1.0;20.0;16.0;39.0;71.0;0.6060606060606061;0.6666666666666667;0.0;1.0
org.apache.commons.codec.EncoderException;0.0;5.0;3.0;0.0;0.0;0.0;61.0;1.0;0.0;5.0;25.0
org.apache.commons.codec.language.SoundexUtils;0.0;12.0;1.0;10.0;23.0;3.0;92.0;1.0;0.0;12.0;4.0
org.apache.commons.codec.net.Utils;0.0;9.0;1.0;5.0;4.0;0.0;34.0;0.0;0.0;9.0;3.0
org.apache.commons.codec.Charsets;0.0;7.0;1.0;4.0;4.0;1.0;108.0;1.0;2.0;7.0;10.0
org.apache.commons.codec.digest.HmacUtils;0.0;22.0;1.0;75.0;60.0;1319.0;1030.0;0.9423076923076923;0.9607843137254902;22.0;1.0
org.apache.commons.codec.language.bm.PhoneticEngine$RulesApplication;0.0;14.0;1.0;11.0;9.0;3.0;62.0;0.625;0.8333333333333334;0.0;1.0
org.apache.commons.codec.digest.Crypt;0.0;10.0;1.0;12.0;17.0;6.0;121.0;1.0;0.0;10.0;1.0
org.apache.commons.codec.DecoderException;0.0;5.0;3.0;0.0;0.0;0.0;59.0;1.0;0.0;5.0;13.0
org.apache.commons.codec.digest.Sha2Crypt;0.0;20.0;1.0;27.0;39.0;10.0;503.0;0.8;1.0;20.0;2.0
org.apache.commons.codec.net.RFC1522Codec;2.0;14.0;1.0;25.0;20.0;14.0;143.0;0.6666666666666667;0.8;14.0;3.0
org.apache.commons.codec.net.QCodec;0.0;22.0;2.0;26.0;57.0;73.0;305.0;0.8461538461538461;0.9166666666666666;22.0;1.0
org.apache.commons.codec.digest.PureJavaCrc32C;0.0;9.0;1.0;4.0;13.0;0.0;601.0;0.625;0.8333333333333334;9.0;1.0
org.apache.commons.codec.language.DoubleMetaphone;0.0;17.0;1.0;89.0;452.0;665.0;970.0;0.9684684684684685;0.9953703703703705;17.0;1.0
org.apache.commons.codec.StringEncoderComparator;0.0;15.0;1.0;3.0;1.0;0.0;57.0;0.0;0.0;13.0;1.0
org.apache.commons.codec.digest.UnixCrypt;0.0;15.0;1.0;28.0;36.0;66.0;372.0;0.9166666666666666;1.0;15.0;2.0
org.apache.commons.codec.language.bm.Rule$Phoneme;0.0;18.0;1.0;12.0;7.0;8.0;85.0;0.5714285714285714;0.6666666666666666;0.0;2.0
org.apache.commons.codec.language.bm.ResourceConstants;0.0;4.0;1.0;0.0;0.0;0.0;6.0;1.0;0.0;4.0;4.0
org.apache.commons.codec.language.bm.Lang;0.0;31.0;1.0;30.0;22.0;6.0;159.0;0.75;1.0;28.0;2.0
org.apache.commons.codec.binary.Base32OutputStream;0.0;7.0;4.0;0.0;0.0;0.0;45.0;1.0;0.0;7.0;1.0
org.apache.commons.codec.language.bm.Lang$LangRule;0.0;8.0;1.0;3.0;1.0;0.0;13.0;0.6666666666666667;0.6666666666666667;0.0;1.0
org.apache.commons.codec.language.AbstractCaverphone;2.0;7.0;1.0;4.0;3.0;1.0;44.0;1.0;0.0;7.0;3.0
org.apache.commons.codec.digest.MessageDigestAlgorithms;0.0;3.0;1.0;1.0;1.0;0.0;98.0;0.0;0.0;3.0;4.0
org.apache.commons.codec.CharEncoding;0.0;3.0;1.0;0.0;0.0;0.0;54.0;1.0;0.0;3.0;6.0
org.apache.commons.codec.language.bm.Languages$SomeLanguages;0.0;14.0;2.0;17.0;28.0;0.0;69.0;0.0;0.0;0.0;1.0
