CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.collections4.map.AbstractLinkedMap;2.0;50.0;3.0;29.0;57.0;114.0;557.0;0.5;0.5294117647058824;31.0;3.0
org.apache.commons.collections4.map.Flat3Map;0.0;77.0;1.0;52.0;329.0;57.0;1208.0;0.5952380952380952;0.625;45.0;1.0
org.apache.commons.collections4.splitmap.TransformedSplitMap;0.0;27.0;2.0;27.0;9.0;44.0;154.0;0.9;1.0;20.0;1.0
org.apache.commons.collections4.bag.SynchronizedBag;1.0;14.0;2.0;16.0;11.0;28.0;114.0;1.0;1.1428571428571428;11.0;3.0
org.apache.commons.collections4.TrieUtils;0.0;5.0;1.0;2.0;1.0;0.0;21.0;1.0;0.0;4.0;1.0
org.apache.commons.collections4.functors.NullPredicate;0.0;11.0;1.0;3.0;4.0;2.0;42.0;0.6666666666666667;1.0;10.0;4.0
org.apache.commons.collections4.map.ListOrderedMap$ListOrderedIterator;0.0;16.0;2.0;7.0;1.0;0.0;19.0;0.0;0.0;0.0;1.0
org.apache.commons.collections4.functors.WhileClosure;0.0;13.0;1.0;7.0;10.0;7.0;89.0;0.6;0.75;10.0;2.0
org.apache.commons.collections4.iterators.SingletonListIterator;0.0;13.0;1.0;10.0;16.0;13.0;151.0;0.475;0.5277777777777778;12.0;2.0
org.apache.commons.collections4.list.TransformedList;0.0;25.0;3.0;34.0;19.0;105.0;171.0;1.0;1.0714285714285714;17.0;2.0
org.apache.commons.collections4.bidimap.TreeBidiMap$Node;0.0;22.0;1.0;25.0;28.0;163.0;219.0;0.875;0.9210526315789473;0.0;1.0
org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap;0.0;20.0;2.0;8.0;1.0;2.0;63.0;1.0;1.5;15.0;1.0
org.apache.commons.collections4.multiset.SynchronizedMultiSet;0.0;17.0;2.0;19.0;13.0;17.0;129.0;1.0;1.1111111111111112;11.0;2.0
org.apache.commons.collections4.multimap.AbstractListValuedMap;1.0;30.0;2.0;9.0;4.0;10.0;250.0;1.0;0.0;20.0;2.0
