CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.compress.archivers.zip.StreamCompressor;0.0;23.0;1.0;40.0;32.0;181.0;299.0;0.8888888888888888;0.9333333333333333;23.0;4.0
org.apache.commons.compress.utils.ArchiveUtils;0.0;17.0;1.0;28.0;50.0;68.0;269.0;0.9230769230769231;1.0;17.0;8.0
org.apache.commons.compress.utils.ServiceLoaderIterator;0.0;20.0;1.0;9.0;10.0;4.0;55.0;0.5833333333333333;0.7777777777777777;16.0;3.0
org.apache.commons.compress.archivers.sevenz.Coders$DeflateDecoder$DeflateDecoderInputStream;0.0;12.0;2.0;9.0;3.0;0.0;33.0;0.375;0.5;0.0;1.0
org.apache.commons.compress.archivers.arj.ArjArchiveEntry;0.0;16.0;1.0;15.0;15.0;15.0;130.0;0.2222222222222222;0.25;16.0;2.0
org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField;2.0;19.0;1.0;18.0;20.0;32.0;160.0;0.5757575757575757;0.6333333333333333;19.0;4.0
org.apache.commons.compress.archivers.zip.InflaterInputStreamWithStatistics;0.0;12.0;3.0;9.0;8.0;6.0;49.0;0.5;0.625;12.0;2.0
org.apache.commons.compress.archivers.zip.ZipFile;0.0;78.0;1.0;119.0;98.0;256.0;1189.0;0.9300699300699301;0.9672727272727273;72.0;4.0
org.apache.commons.compress.compressors.lz77support.Parameters;0.0;12.0;1.0;11.0;12.0;55.0;325.0;0.9181818181818182;1.01;12.0;6.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry;0.0;20.0;1.0;63.0;95.0;1129.0;785.0;0.935;0.9540816326530612;20.0;3.0
org.apache.commons.compress.archivers.dump.UnrecognizedFormatException;0.0;4.0;4.0;0.0;0.0;0.0;5.0;1.0;0.0;4.0;2.0
org.apache.commons.compress.archivers.Lister;0.0;20.0;1.0;22.0;14.0;7.0;59.0;0.6666666666666667;0.8;20.0;1.0
org.apache.commons.compress.archivers.dump.UnsupportedCompressionAlgorithmException;0.0;4.0;4.0;0.0;0.0;0.0;11.0;1.0;0.0;4.0;2.0
org.apache.commons.compress.compressors.FileNameUtil;0.0;14.0;1.0;9.0;21.0;2.0;164.0;0.5238095238095238;0.7857142857142857;12.0;5.0
org.apache.commons.compress.compressors.lzma.LZMACompressorOutputStream;0.0;11.0;3.0;9.0;0.0;4.0;46.0;0.19999999999999996;0.25;11.0;2.0
org.apache.commons.compress.compressors.lzma.LZMAUtils;0.0;18.0;1.0;13.0;22.0;22.0;132.0;0.7083333333333333;0.8095238095238094;17.0;2.0
org.apache.commons.compress.archivers.zip.StreamCompressor$SeekableByteChannelCompressor;0.0;10.0;2.0;3.0;0.0;0.0;13.0;0.0;0.0;0.0;1.0
org.apache.commons.compress.archivers.zip.UnicodePathExtraField;0.0;7.0;2.0;1.0;1.0;0.0;35.0;0.0;0.0;7.0;4.0
org.apache.commons.compress.archivers.zip.AsiExtraField;0.0;21.0;1.0;43.0;21.0;169.0;284.0;0.8625;0.9078947368421053;21.0;2.0
org.apache.commons.compress.archivers.dump.InvalidFormatException;0.0;4.0;4.0;1.0;1.0;0.0;16.0;0.5;0.5;4.0;2.0
org.apache.commons.compress.compressors.deflate64.HuffmanDecoder$DecoderState;0.0;7.0;1.0;4.0;0.0;6.0;7.0;1.0;0.0;0.0;1.0
org.apache.commons.compress.archivers.zip.NioZipEncoding;0.0;23.0;1.0;47.0;32.0;42.0;178.0;0.8666666666666667;0.9629629629629629;23.0;2.0
org.apache.commons.compress.compressors.zstandard.ZstdUtils;0.0;12.0;1.0;7.0;28.0;7.0;113.0;0.6666666666666667;0.8333333333333333;12.0;2.0
