CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.configuration2.tree.xpath.ConfigurationNodeIteratorChildren;0.0;24.0;2.0;24.0;29.0;14.0;172.0;0.6666666666666667;0.8;20.0;1.0
org.apache.commons.configuration2.web.ServletContextConfiguration;0.0;11.0;4.0;7.0;2.0;0.0;40.0;0.0;0.0;11.0;1.0
org.apache.commons.configuration2.tree.NodeUpdateData;0.0;17.0;1.0;10.0;12.0;15.0;113.0;0.8333333333333334;1.0;11.0;4.0
org.apache.commons.configuration2.XMLConfiguration$XMLBuilderVisitor;0.0;34.0;3.0;54.0;45.0;47.0;306.0;0.7727272727272727;0.85;0.0;1.0
org.apache.commons.configuration2.reloading.CombinedReloadingController$MultiReloadingControllerDetector;0.0;9.0;1.0;5.0;4.0;0.0;48.0;0.0;0.0;0.0;1.0
org.apache.commons.configuration2.web.ServletFilterConfiguration;0.0;10.0;4.0;7.0;2.0;0.0;28.0;0.0;0.0;10.0;1.0
org.apache.commons.configuration2.builder.AutoSaveListener;0.0;17.0;2.0;13.0;7.0;12.0;114.0;0.75;0.9;16.0;2.0
org.apache.commons.configuration2.ConfigurationMap$ConfigurationSet$ConfigurationSetIterator;0.0;15.0;1.0;6.0;2.0;0.0;26.0;0.0;0.0;0.0;1.0
org.apache.commons.configuration2.tree.ReferenceTracker;0.0;17.0;1.0;14.0;17.0;1.0;133.0;0.25;0.3333333333333333;12.0;4.0
org.apache.commons.configuration2.convert.DisabledListDelimiterHandler;0.0;14.0;2.0;4.0;2.0;3.0;44.0;1.0;1.5;13.0;4.0
org.apache.commons.configuration2.AbstractHierarchicalConfiguration$DefinedKeysVisitor;0.0;20.0;2.0;15.0;3.0;2.0;82.0;0.375;0.5;0.0;1.0
org.apache.commons.configuration2.web.ServletRequestConfiguration;0.0;18.0;4.0;9.0;15.0;0.0;54.0;0.0;0.0;15.0;1.0
org.apache.commons.configuration2.builder.combined.CombinedConfigurationBuilder$ConfigurationSourceData;0.0;40.0;1.0;44.0;24.0;57.0;277.0;0.8571428571428572;0.9350649350649352;0.0;1.0
org.apache.commons.configuration2.AbstractHierarchicalConfiguration$DefinedVisitor;0.0;12.0;2.0;7.0;3.0;2.0;39.0;0.33333333333333337;0.5;0.0;1.0
org.apache.commons.configuration2.builder.FileBasedBuilderParametersImpl;2.0;21.0;2.0;44.0;28.0;167.0;281.0;0.9122807017543859;0.9629629629629629;19.0;10.0
org.apache.commons.configuration2.convert.DefaultConversionHandler;0.0;30.0;1.0;47.0;39.0;119.0;367.0;0.9375;1.0;25.0;5.0
org.apache.commons.configuration2.PropertiesConfiguration$PropertiesWriter;0.0;31.0;3.0;36.0;22.0;88.0;331.0;0.9285714285714286;1.0;0.0;2.0
org.apache.commons.configuration2.tree.ConfigurationNodeVisitorAdapter;1.0;7.0;1.0;3.0;1.0;3.0;27.0;1.0;0.0;7.0;7.0
org.apache.commons.configuration2.BaseHierarchicalConfiguration$InterpolatedVisitor;0.0;23.0;2.0;40.0;15.0;59.0;201.0;0.75;0.8181818181818182;0.0;1.0
