CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.dbcp2.datasources.SharedPoolDataSource;0.0;33.0;2.0;73.0;16.0;38.0;186.0;0.7727272727272727;0.85;32.0;2.0
org.apache.commons.dbcp2.managed.TransactionRegistry;0.0;20.0;1.0;14.0;12.0;7.0;102.0;0.6666666666666667;0.8333333333333333;17.0;10.0
org.apache.commons.dbcp2.SwallowedExceptionLogger;0.0;11.0;1.0;3.0;2.0;0.0;33.0;0.0;0.0;11.0;3.0
org.apache.commons.dbcp2.PStmtKey$PreparedCallWithResultSetConcurrency;0.0;9.0;1.0;3.0;1.0;0.0;4.0;1.0;0.0;0.0;1.0
org.apache.commons.dbcp2.PoolableCallableStatement;0.0;21.0;5.0;16.0;5.0;3.0;100.0;0.6666666666666667;1.0;20.0;3.0
org.apache.commons.dbcp2.DelegatingPreparedStatement;2.0;42.0;3.0;126.0;15.0;1770.0;642.0;1.0;0.0;42.0;11.0
org.apache.commons.dbcp2.PStmtKey$PreparedStatementSQL;0.0;8.0;1.0;2.0;1.0;0.0;4.0;1.0;0.0;0.0;1.0
org.apache.commons.dbcp2.PStmtKey$PreparedCallSQL;0.0;8.0;1.0;2.0;1.0;0.0;4.0;1.0;0.0;0.0;1.0
org.apache.commons.dbcp2.PoolableConnection;2.0;31.0;3.0;35.0;33.0;26.0;291.0;0.859375;0.9821428571428571;29.0;7.0
org.apache.commons.dbcp2.managed.DataSourceXAConnectionFactory;0.0;26.0;1.0;21.0;6.0;8.0;146.0;0.625;0.75;26.0;2.0
org.apache.commons.dbcp2.cpdsadapter.PStmtKeyCPDS;0.0;6.0;2.0;0.0;0.0;0.0;84.0;1.0;0.0;6.0;1.0
org.apache.commons.dbcp2.AbandonedTrace;3.0;21.0;1.0;21.0;16.0;19.0;132.0;0.5625;0.6428571428571429;16.0;7.0
org.apache.commons.dbcp2.ObjectNameWrapper;0.0;15.0;1.0;15.0;18.0;16.0;61.0;0.6190476190476191;0.7222222222222223;15.0;3.0
org.apache.commons.dbcp2.PoolingDriver$PoolGuardConnectionWrapper;0.0;8.0;3.0;5.0;6.0;1.0;29.0;1.0;2.0;0.0;1.0
org.apache.commons.dbcp2.BasicDataSourceFactory;0.0;48.0;1.0;90.0;83.0;9.0;536.0;0.8214285714285714;1.0267857142857142;43.0;1.0
org.apache.commons.dbcp2.DelegatingDatabaseMetaData;0.0;22.0;1.0;365.0;327.0;304.0;1906.0;0.425414364640884;0.42777777777777776;19.0;2.0
org.apache.commons.dbcp2.managed.ManagedDataSource;0.0;16.0;2.0;5.0;6.0;0.0;47.0;0.0;0.0;14.0;1.0
org.apache.commons.dbcp2.datasources.PerUserPoolDataSourceFactory;0.0;22.0;2.0;17.0;20.0;1.0;63.0;0.5;1.0;20.0;2.0
org.apache.commons.dbcp2.managed.LocalXAConnectionFactory;0.0;20.0;1.0;4.0;2.0;0.0;305.0;0.25;0.5;20.0;2.0
org.apache.commons.dbcp2.DelegatingConnection;4.0;49.0;2.0;161.0;137.0;904.0;916.0;0.8378378378378378;0.8493150684931506;42.0;18.0
