CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.dbutils.BasicRowProcessor$CaseInsensitiveHashMap;0.0;17.0;3.0;15.0;5.0;4.0;73.0;0.6;0.75;0.0;1.0
org.apache.commons.dbutils.handlers.ScalarHandler;0.0;12.0;1.0;4.0;6.0;0.0;78.0;0.0;0.0;11.0;1.0
org.apache.commons.dbutils.handlers.columns.StringColumnHandler;0.0;10.0;1.0;4.0;2.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSet;0.0;34.0;1.0;51.0;27.0;925.0;536.0;0.9590909090909091;0.9813953488372094;33.0;1.0
org.apache.commons.dbutils.OutParameter;0.0;15.0;1.0;11.0;5.0;7.0;107.0;0.47619047619047616;0.5555555555555556;13.0;3.0
org.apache.commons.dbutils.handlers.properties.DatePropertyHandler;0.0;13.0;1.0;7.0;16.0;1.0;36.0;1.0;0.0;12.0;1.0
org.apache.commons.dbutils.handlers.BeanListHandler;0.0;11.0;1.0;2.0;1.0;0.0;50.0;0.0;0.0;10.0;1.0
org.apache.commons.dbutils.wrappers.StringTrimmedResultSet;0.0;10.0;1.0;7.0;5.0;1.0;62.0;0.5;1.0;10.0;1.0
org.apache.commons.dbutils.handlers.BeanHandler;0.0;11.0;1.0;3.0;1.0;0.0;50.0;0.0;0.0;10.0;1.0
org.apache.commons.dbutils.handlers.columns.BooleanColumnHandler;0.0;10.0;1.0;5.0;3.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.StatementConfiguration$Builder;0.0;4.0;1.0;6.0;6.0;10.0;34.0;0.6666666666666667;0.8;0.0;1.0
org.apache.commons.dbutils.handlers.MapListHandler;0.0;11.0;2.0;2.0;1.0;0.0;40.0;0.0;0.0;10.0;1.0
org.apache.commons.dbutils.AsyncQueryRunner$BatchCallableStatement;0.0;15.0;1.0;5.0;2.0;0.0;48.0;0.0;0.0;0.0;1.0
org.apache.commons.dbutils.handlers.ArrayListHandler;0.0;9.0;2.0;2.0;1.0;0.0;40.0;0.0;0.0;8.0;1.0
org.apache.commons.dbutils.handlers.columns.ShortColumnHandler;0.0;10.0;1.0;5.0;3.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.ProxyFactory;0.0;14.0;1.0;14.0;9.0;36.0;97.0;0.8888888888888888;1.0;12.0;3.0
org.apache.commons.dbutils.BaseResultSetHandler;0.0;41.0;1.0;382.0;97.0;191.0;1918.0;0.00520833333333337;0.005235602094240838;39.0;1.0
org.apache.commons.dbutils.AbstractQueryRunner;2.0;36.0;1.0;62.0;51.0;104.0;562.0;0.9111111111111111;0.9761904761904762;36.0;3.0
org.apache.commons.dbutils.handlers.columns.LongColumnHandler;0.0;10.0;1.0;5.0;3.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.handlers.ArrayHandler;0.0;9.0;1.0;3.0;1.0;0.0;52.0;0.33333333333333337;0.33333333333333337;9.0;8.0
org.apache.commons.dbutils.BeanProcessor;1.0;54.0;1.0;52.0;62.0;77.0;481.0;0.9076923076923077;0.9833333333333334;46.0;3.0
org.apache.commons.dbutils.handlers.MapHandler;0.0;11.0;1.0;3.0;1.0;0.0;42.0;0.0;0.0;11.0;1.0
org.apache.commons.dbutils.ResultSetIterator;0.0;15.0;1.0;12.0;6.0;7.0;105.0;0.6;0.75;15.0;1.0
org.apache.commons.dbutils.DbUtils;0.0;36.0;1.0;44.0;16.0;153.0;390.0;1.0;0.0;33.0;2.0
org.apache.commons.dbutils.QueryRunner;0.0;23.0;2.0;65.0;99.0;561.0;950.0;1.0;0.0;21.0;2.0
org.apache.commons.dbutils.handlers.BeanMapHandler;0.0;15.0;2.0;5.0;3.0;1.0;126.0;0.5;1.0;13.0;1.0
org.apache.commons.dbutils.AsyncQueryRunner$QueryCallableStatement;0.0;16.0;1.0;8.0;2.0;0.0;59.0;0.0;0.0;0.0;1.0
org.apache.commons.dbutils.QueryLoader;0.0;19.0;1.0;15.0;9.0;5.0;112.0;0.6666666666666667;0.888888888888889;16.0;1.0
org.apache.commons.dbutils.AsyncQueryRunner$UpdateCallableStatement;0.0;14.0;1.0;6.0;2.0;0.0;50.0;0.0;0.0;0.0;1.0
org.apache.commons.dbutils.handlers.columns.IntegerColumnHandler;0.0;10.0;1.0;5.0;3.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.DbUtils$DriverProxy;0.0;19.0;1.0;16.0;8.0;0.0;87.0;0.4285714285714286;0.5;0.0;1.0
org.apache.commons.dbutils.handlers.AbstractListHandler;3.0;10.0;1.0;5.0;2.0;1.0;27.0;1.0;0.0;8.0;4.0
org.apache.commons.dbutils.handlers.columns.FloatColumnHandler;0.0;10.0;1.0;5.0;3.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.handlers.columns.TimestampColumnHandler;0.0;10.0;1.0;4.0;2.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.handlers.ColumnListHandler;0.0;12.0;2.0;3.0;4.0;0.0;73.0;0.0;0.0;10.0;1.0
org.apache.commons.dbutils.handlers.columns.SQLXMLColumnHandler;0.0;10.0;1.0;4.0;2.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.handlers.KeyedHandler;0.0;16.0;2.0;5.0;3.0;1.0;108.0;0.5;1.0;14.0;1.0
org.apache.commons.dbutils.handlers.AbstractKeyedHandler;2.0;10.0;1.0;9.0;3.0;6.0;48.0;1.0;0.0;8.0;3.0
org.apache.commons.dbutils.StatementConfiguration;0.0;6.0;1.0;10.0;10.0;40.0;153.0;0.8;0.8888888888888888;6.0;3.0
org.apache.commons.dbutils.handlers.columns.ByteColumnHandler;0.0;10.0;1.0;5.0;3.0;1.0;9.0;1.0;0.0;10.0;1.0
org.apache.commons.dbutils.handlers.properties.StringEnumPropertyHandler;0.0;9.0;1.0;5.0;3.0;1.0;9.0;1.0;0.0;8.0;1.0
