CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.digester3.annotations.handlers.SetNextHandler;0.0;14.0;2.0;7.0;0.0;0.0;17.0;1.0;0.0;13.0;1.0
org.apache.commons.digester3.binder.ObjectParamBuilder;0.0;11.0;2.0;4.0;5.0;1.0;54.0;0.4444444444444444;0.6666666666666666;9.0;3.0
org.apache.commons.digester3.xmlrules.IncludeRule;0.0;26.0;2.0;23.0;18.0;0.0;110.0;0.16666666666666663;0.33333333333333326;25.0;2.0
org.apache.commons.digester3.ObjectCreateRule$ProxyManager;0.0;23.0;1.0;17.0;8.0;0.0;94.0;0.41666666666666663;0.8333333333333333;0.0;1.0
org.apache.commons.digester3.xmlrules.AbstractXmlMethodRule;3.0;11.0;4.0;5.0;0.0;1.0;29.0;1.0;0.0;11.0;4.0
org.apache.commons.digester3.ObjectParamRule;0.0;12.0;2.0;6.0;4.0;0.0;83.0;0.0;0.0;12.0;3.0
org.apache.commons.digester3.xmlrules.XmlRulesModule;0.0;35.0;1.0;9.0;5.0;0.0;96.0;0.375;0.75;34.0;2.0
org.apache.commons.digester3.CallParamRule;0.0;15.0;2.0;18.0;13.0;1.0;184.0;0.48;0.6;14.0;3.0
org.apache.commons.digester3.binder.NestedPropertiesBuilder;0.0;15.0;2.0;11.0;10.0;12.0;101.0;0.6666666666666667;0.8;13.0;5.0
org.apache.commons.digester3.SetNextRule;0.0;9.0;3.0;4.0;2.0;1.0;60.0;1.0;0.0;9.0;3.0
org.apache.commons.digester3.binder.DefaultRulesBinder;0.0;24.0;1.0;31.0;20.0;37.0;182.0;0.6363636363636364;0.7;22.0;2.0
org.apache.commons.digester3.NodeCreateRule;0.0;28.0;2.0;16.0;9.0;1.0;373.0;0.5;1.0;28.0;2.0
org.apache.commons.digester3.plugins.strategies.LoaderSetProperties;0.0;8.0;2.0;5.0;1.0;0.0;19.0;1.0;0.0;8.0;2.0
org.apache.commons.digester3.xmlrules.SetPropertyRule;0.0;11.0;4.0;4.0;0.0;0.0;20.0;1.0;0.0;11.0;2.0
org.apache.commons.digester3.plugins.PluginRules;0.0;25.0;1.0;49.0;29.0;149.0;415.0;0.8163265306122449;0.8571428571428571;23.0;3.0
org.apache.commons.digester3.Digester;0.0;102.0;2.0;279.0;253.0;10466.0;3084.0;0.9707138499084808;0.9772727272727272;86.0;55.0
org.apache.commons.digester3.xmlrules.CallMethodRule;0.0;16.0;4.0;14.0;7.0;0.0;56.0;1.0;0.0;16.0;2.0
org.apache.commons.digester3.CallMethodRule;0.0;24.0;2.0;34.0;50.0;23.0;460.0;0.7301587301587302;0.8214285714285714;23.0;3.0
org.apache.commons.digester3.annotations.DefaultAnnotationHandlerFactory;0.0;9.0;1.0;2.0;1.0;0.0;12.0;1.0;0.0;8.0;2.0
org.apache.commons.digester3.xmlrules.FromXmlRulesModule;0.0;33.0;2.0;39.0;19.0;52.0;220.0;0.8787878787878788;0.9666666666666666;31.0;3.0
org.apache.commons.digester3.binder.AbstractBackToLinkedRuleBuilder;16.0;11.0;1.0;9.0;6.0;13.0;76.0;0.75;0.9;10.0;19.0
org.apache.commons.digester3.plugins.strategies.LoaderFromStream;0.0;22.0;2.0;10.0;1.0;0.0;81.0;0.0;0.0;22.0;3.0
org.apache.commons.digester3.Rule;22.0;8.0;1.0;8.0;2.0;26.0;118.0;0.75;0.8571428571428571;8.0;43.0
org.apache.commons.digester3.SetPropertiesRule;0.0;20.0;2.0;24.0;14.0;2.0;240.0;0.30000000000000004;0.375;19.0;3.0
org.apache.commons.digester3.binder.ErrorMessage;0.0;6.0;1.0;3.0;3.0;2.0;64.0;0.5;0.75;6.0;3.0
org.apache.commons.digester3.annotations.reflect.MethodArgument;0.0;14.0;1.0;11.0;15.0;18.0;121.0;0.7619047619047619;0.8888888888888888;11.0;4.0
org.apache.commons.digester3.binder.CallMethodBuilder;0.0;16.0;2.0;14.0;22.0;14.0;164.0;0.6666666666666667;0.7777777777777777;15.0;4.0
org.apache.commons.digester3.binder.FromBinderRuleSet;0.0;24.0;1.0;16.0;12.0;5.0;204.0;0.4;0.5;19.0;3.0
org.apache.commons.digester3.xmlrules.SetNextRule;0.0;13.0;5.0;6.0;3.0;0.0;30.0;1.0;0.0;13.0;2.0
org.apache.commons.digester3.annotations.handlers.CallParamHandler;0.0;13.0;1.0;14.0;2.0;0.0;21.0;1.0;0.0;13.0;1.0
org.apache.commons.digester3.xmlrules.WithMemoryRulesBinder;0.0;12.0;1.0;12.0;4.0;11.0;78.0;0.6666666666666667;0.7777777777777777;12.0;3.0
org.apache.commons.digester3.annotations.handlers.BeanPropertySetterHandler;0.0;9.0;1.0;8.0;0.0;0.0;14.0;1.0;0.0;9.0;1.0
org.apache.commons.digester3.plugins.PluginCreateRule;0.0;30.0;2.0;53.0;52.0;38.0;597.0;0.75;0.8333333333333334;28.0;2.0
org.apache.commons.digester3.PathCallParamRule;0.0;12.0;2.0;6.0;2.0;0.0;49.0;0.0;0.0;12.0;3.0
org.apache.commons.digester3.SetRootRule;0.0;9.0;3.0;5.0;2.0;1.0;60.0;1.0;0.0;9.0;3.0
org.apache.commons.digester3.substitution.VariableSubstitutor;0.0;9.0;2.0;4.0;4.0;1.0;73.0;0.5;1.0;9.0;1.0
org.apache.commons.digester3.SetNestedPropertiesRule$AnyChildRule;0.0;22.0;2.0;18.0;16.0;0.0;96.0;0.0;0.0;0.0;1.0
org.apache.commons.digester3.plugins.PluginManager;0.0;24.0;1.0;22.0;15.0;3.0;160.0;0.5625;0.75;20.0;5.0
org.apache.commons.digester3.annotations.handlers.ObjectCreateHandler;0.0;15.0;1.0;13.0;6.0;0.0;38.0;1.0;0.0;14.0;1.0
