CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.mail.resolver.DataSourceUrlResolver;0.0;13.0;2.0;14.0;17.0;5.0;102.0;0.5;0.6666666666666666;13.0;1.0
org.apache.commons.mail.MultiPartEmail;1.0;27.0;2.0;57.0;39.0;213.0;540.0;0.8727272727272728;0.9142857142857143;27.0;2.0
org.apache.commons.mail.EmailException;0.0;11.0;3.0;6.0;0.0;3.0;90.0;1.0;1.5;11.0;6.0
org.apache.commons.mail.DefaultAuthenticator;0.0;5.0;2.0;1.0;1.0;0.0;29.0;0.0;0.0;5.0;2.0
org.apache.commons.mail.EmailUtils;0.0;22.0;1.0;22.0;48.0;28.0;289.0;0.875;1.0;22.0;6.0
org.apache.commons.mail.SimpleEmail;0.0;7.0;2.0;3.0;2.0;0.0;21.0;1.0;0.0;7.0;1.0
org.apache.commons.mail.resolver.DataSourceClassPathResolver;0.0;13.0;2.0;18.0;12.0;6.0;112.0;0.75;1.0;13.0;1.0
org.apache.commons.mail.util.MimeMessageUtils;0.0;17.0;1.0;13.0;10.0;10.0;145.0;1.0;0.0;17.0;2.0
org.apache.commons.mail.HtmlEmail;1.0;35.0;3.0;65.0;47.0;42.0;630.0;0.8311688311688312;0.9142857142857143;34.0;2.0
org.apache.commons.mail.resolver.DataSourceFileResolver;0.0;10.0;2.0;10.0;8.0;3.0;82.0;0.6666666666666667;1.0;10.0;1.0
org.apache.commons.mail.util.MimeMessageParser;0.0;44.0;1.0;72.0;70.0;259.0;401.0;0.8533333333333333;0.8888888888888888;43.0;1.0
org.apache.commons.mail.ByteArrayDataSource;0.0;21.0;1.0;11.0;11.0;11.0;205.0;0.7083333333333333;0.85;21.0;1.0
org.apache.commons.mail.util.IDNEmailAddressConverter;0.0;9.0;1.0;16.0;15.0;15.0;87.0;1.0;0.0;9.0;2.0
org.apache.commons.mail.resolver.DataSourceBaseResolver;4.0;5.0;1.0;5.0;5.0;6.0;64.0;0.75;1.0;5.0;5.0
org.apache.commons.mail.HtmlEmail$InlineImage;0.0;9.0;1.0;7.0;10.0;7.0;84.0;0.6666666666666667;0.8333333333333333;0.0;1.0
org.apache.commons.mail.EmailConstants;0.0;5.0;1.0;0.0;0.0;0.0;221.0;1.0;0.0;5.0;4.0
org.apache.commons.mail.ImageHtmlEmail;0.0;20.0;4.0;24.0;11.0;5.0;148.0;0.8;1.0666666666666667;18.0;1.0
org.apache.commons.mail.Email;2.0;47.0;1.0;170.0;190.0;3185.0;1941.0;0.97639653815893;0.9884508164078056;45.0;4.0
org.apache.commons.mail.resolver.DataSourceCompositeResolver;0.0;11.0;2.0;7.0;10.0;3.0;76.0;0.6666666666666667;1.0;11.0;1.0
org.apache.commons.mail.EmailAttachment;0.0;6.0;1.0;10.0;5.0;40.0;135.0;0.8571428571428572;0.9523809523809523;6.0;3.0
