CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.exec.launcher.CommandLauncherProxy;2.0;9.0;2.0;2.0;1.0;0.0;23.0;0.0;0.0;9.0;3.0
org.apache.commons.exec.environment.OpenVmsProcessingEnvironment;0.0;3.0;2.0;0.0;0.0;0.0;61.0;1.0;0.0;3.0;1.0
org.apache.commons.exec.util.StringUtils;0.0;20.0;1.0;27.0;72.0;14.0;225.0;0.75;0.9;18.0;3.0
org.apache.commons.exec.launcher.CommandLauncherImpl;2.0;13.0;1.0;7.0;2.0;3.0;16.0;1.0;0.0;13.0;4.0
org.apache.commons.exec.ShutdownHookProcessDestroyer$ProcessDestroyerImpl;0.0;7.0;2.0;3.0;1.0;0.0;17.0;0.0;0.0;0.0;1.0
org.apache.commons.exec.launcher.OS2CommandLauncher;0.0;12.0;3.0;5.0;4.0;0.0;31.0;1.0;0.0;12.0;1.0
org.apache.commons.exec.CommandLine;0.0;28.0;1.0;48.0;71.0;149.0;407.0;0.9027777777777778;0.9558823529411765;23.0;11.0
org.apache.commons.exec.util.DebugUtils;0.0;11.0;1.0;11.0;5.0;3.0;59.0;0.6666666666666667;1.0;11.0;5.0
org.apache.commons.exec.Watchdog;0.0;17.0;1.0;18.0;6.0;9.0;63.0;0.6111111111111112;0.7333333333333333;15.0;3.0
org.apache.commons.exec.launcher.WinNTCommandLauncher;0.0;12.0;3.0;5.0;4.0;0.0;32.0;1.0;0.0;12.0;1.0
org.apache.commons.exec.StreamPumper;0.0;14.0;1.0;10.0;5.0;2.0;117.0;0.6666666666666667;1.0;14.0;2.0
org.apache.commons.exec.util.MapUtils;0.0;13.0;1.0;11.0;20.0;3.0;84.0;1.0;0.0;10.0;1.0
org.apache.commons.exec.InputStreamPumper;0.0;12.0;1.0;8.0;4.0;0.0;51.0;0.375;0.75;12.0;2.0
org.apache.commons.exec.launcher.VmsCommandLauncher;0.0;22.0;3.0;28.0;19.0;6.0;108.0;1.0;0.0;20.0;2.0
org.apache.commons.exec.ExecuteWatchdog;0.0;19.0;1.0;21.0;11.0;28.0;184.0;0.725;0.8055555555555556;19.0;3.0
org.apache.commons.exec.ShutdownHookProcessDestroyer;0.0;22.0;1.0;24.0;14.0;10.0;167.0;0.5714285714285714;0.6666666666666666;20.0;1.0
org.apache.commons.exec.OS;0.0;9.0;1.0;21.0;71.0;109.0;217.0;0.8916666666666666;0.951111111111111;9.0;3.0
org.apache.commons.exec.environment.DefaultProcessingEnvironment;1.0;18.0;1.0;12.0;12.0;9.0;189.0;0.6;0.75;17.0;3.0
org.apache.commons.exec.PumpStreamHandler;0.0;22.0;1.0;31.0;26.0;75.0;282.0;0.8357142857142857;0.8999999999999999;22.0;2.0
org.apache.commons.exec.LogOutputStream;0.0;11.0;2.0;17.0;26.0;17.0;148.0;0.7916666666666666;0.9047619047619048;11.0;1.0
org.apache.commons.exec.DefaultExecuteResultHandler;0.0;15.0;1.0;11.0;9.0;10.0;118.0;0.5357142857142857;0.625;15.0;1.0
org.apache.commons.exec.CommandLine$Argument;0.0;5.0;1.0;2.0;2.0;1.0;19.0;0.5;1.0;0.0;1.0
org.apache.commons.exec.DefaultExecutor;1.0;30.0;1.0;58.0;43.0;209.0;387.0;0.875;0.9166666666666666;30.0;2.0
org.apache.commons.exec.environment.EnvironmentUtils;0.0;15.0;1.0;15.0;11.0;6.0;88.0;0.75;1.0;13.0;3.0
org.apache.commons.exec.launcher.CommandLauncherFactory;0.0;6.0;1.0;2.0;3.0;0.0;21.0;1.0;0.0;6.0;2.0
org.apache.commons.exec.ExecuteException;0.0;8.0;3.0;2.0;2.0;1.0;59.0;0.6666666666666667;1.3333333333333335;8.0;6.0
org.apache.commons.exec.launcher.Java13CommandLauncher;1.0;11.0;2.0;5.0;1.0;0.0;29.0;1.0;0.0;11.0;3.0
org.apache.commons.exec.DaemonExecutor;0.0;7.0;2.0;3.0;1.0;0.0;16.0;1.0;0.0;7.0;1.0
