CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.fileupload.FileUpload;4.0;5.0;2.0;2.0;1.0;0.0;58.0;0.0;0.0;5.0;3.0
org.apache.commons.fileupload.FileUploadBase$SizeLimitExceededException;0.0;8.0;5.0;0.0;0.0;0.0;39.0;1.0;0.0;0.0;1.0
org.apache.commons.fileupload.util.FileItemHeadersImpl;0.0;20.0;1.0;12.0;10.0;0.0;59.0;0.5;0.6666666666666666;18.0;2.0
org.apache.commons.fileupload.FileUploadBase$FileItemIteratorImpl;0.0;42.0;1.0;24.0;33.0;3.0;422.0;0.59375;0.7916666666666666;0.0;1.0
org.apache.commons.fileupload.FileUploadBase$UnknownSizeException;0.0;5.0;4.0;0.0;0.0;0.0;25.0;1.0;0.0;0.0;1.0
org.apache.commons.fileupload.FileUploadBase$FileSizeLimitExceededException;0.0;6.0;5.0;4.0;2.0;4.0;71.0;0.6666666666666667;0.888888888888889;0.0;1.0
org.apache.commons.fileupload.FileUploadException;0.0;11.0;3.0;6.0;3.0;0.0;79.0;0.5;0.75;11.0;7.0
org.apache.commons.fileupload.MultipartStream;0.0;31.0;1.0;29.0;58.0;65.0;945.0;0.8785425101214575;0.9517543859649122;31.0;2.0
org.apache.commons.fileupload.FileUploadBase$IOFileUploadException;0.0;8.0;4.0;1.0;1.0;0.0;34.0;0.5;0.5;0.0;1.0
org.apache.commons.fileupload.util.mime.QuotedPrintableDecoder;0.0;11.0;1.0;5.0;18.0;1.0;86.0;0.5;1.0;11.0;2.0
org.apache.commons.fileupload.util.mime.Base64Decoder;0.0;10.0;1.0;2.0;16.0;0.0;126.0;0.2857142857142857;0.2857142857142857;10.0;2.0
org.apache.commons.fileupload.FileUploadBase$SizeException;0.0;5.0;4.0;2.0;2.0;1.0;49.0;0.6666666666666667;1.3333333333333335;0.0;1.0
org.apache.commons.fileupload.FileUploadBase$FileUploadIOException;0.0;7.0;3.0;1.0;1.0;0.0;34.0;0.5;0.5;0.0;2.0
org.apache.commons.fileupload.MultipartStream$IllegalBoundaryException;0.0;4.0;3.0;0.0;0.0;0.0;24.0;1.0;0.0;0.0;1.0
org.apache.commons.fileupload.FileItemStream$ItemSkippedException;0.0;3.0;3.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;3.0
org.apache.commons.fileupload.FileUploadBase$InvalidContentTypeException;0.0;5.0;4.0;0.0;0.0;0.0;37.0;1.0;0.0;0.0;1.0
org.apache.commons.fileupload.InvalidFileNameException;0.0;4.0;3.0;1.0;1.0;0.0;32.0;0.5;0.5;4.0;2.0
org.apache.commons.fileupload.servlet.FileCleanerCleanup;0.0;9.0;1.0;10.0;1.0;5.0;56.0;0.5;0.6666666666666666;9.0;1.0
org.apache.commons.fileupload.MultipartStream$ProgressNotifier;0.0;9.0;1.0;5.0;1.0;1.0;63.0;0.5;0.75;0.0;2.0
org.apache.commons.fileupload.servlet.ServletFileUpload;0.0;15.0;3.0;10.0;6.0;6.0;108.0;0.75;1.0;15.0;2.0
org.apache.commons.fileupload.util.mime.MimeUtility;0.0;19.0;1.0;22.0;46.0;2.0;251.0;0.6190476190476191;0.9285714285714286;18.0;2.0
org.apache.commons.fileupload.util.Streams;0.0;16.0;1.0;20.0;25.0;10.0;162.0;0.8;1.0;16.0;4.0
org.apache.commons.fileupload.util.mime.ParseException;0.0;4.0;3.0;0.0;0.0;0.0;15.0;1.0;0.0;4.0;2.0
org.apache.commons.fileupload.FileUploadBase$FileItemIteratorImpl$FileItemStreamImpl;0.0;25.0;1.0;11.0;8.0;26.0;172.0;0.8392857142857143;0.9591836734693878;0.0;1.0
org.apache.commons.fileupload.disk.DiskFileItem;2.0;43.0;1.0;65.0;73.0;256.0;643.0;0.9176470588235294;0.9558823529411765;42.0;3.0
org.apache.commons.fileupload.portlet.PortletRequestContext;0.0;14.0;1.0;15.0;6.0;5.0;91.0;0.16666666666666663;0.2;14.0;2.0
org.apache.commons.fileupload.MultipartStream$ItemInputStream;0.0;19.0;2.0;21.0;58.0;27.0;243.0;0.6799999999999999;0.7555555555555555;0.0;2.0
org.apache.commons.fileupload.FileUploadBase;2.0;68.0;1.0;83.0;74.0;424.0;1432.0;0.9538461538461538;0.9867374005305041;64.0;8.0
org.apache.commons.fileupload.DefaultFileItemFactory;0.0;10.0;2.0;3.0;1.0;0.0;61.0;1.0;0.0;10.0;2.0
org.apache.commons.fileupload.DiskFileUpload;0.0;16.0;2.0;15.0;4.0;6.0;160.0;0.1428571428571429;0.16666666666666666;16.0;1.0
org.apache.commons.fileupload.ParameterParser;0.0;15.0;1.0;26.0;73.0;43.0;301.0;0.7121212121212122;0.7833333333333334;14.0;3.0
org.apache.commons.fileupload.MultipartStream$MalformedStreamException;0.0;4.0;3.0;0.0;0.0;0.0;24.0;1.0;0.0;0.0;1.0
org.apache.commons.fileupload.DefaultFileItem;0.0;8.0;2.0;0.0;0.0;0.0;36.0;1.0;0.0;8.0;2.0
org.apache.commons.fileupload.util.LimitedInputStream;0.0;11.0;3.0;11.0;8.0;11.0;137.0;0.6666666666666667;0.8;11.0;2.0
org.apache.commons.fileupload.disk.DiskFileItemFactory;1.0;12.0;1.0;10.0;5.0;14.0;154.0;0.7142857142857143;0.8333333333333334;12.0;3.0
org.apache.commons.fileupload.servlet.ServletRequestContext;0.0;14.0;1.0;15.0;6.0;5.0;89.0;0.16666666666666663;0.2;14.0;3.0
org.apache.commons.fileupload.portlet.PortletFileUpload;0.0;14.0;3.0;8.0;4.0;6.0;99.0;1.0;0.0;14.0;1.0
