CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.functor.core.composite.BinaryAnd;0.0;13.0;2.0;14.0;12.0;15.0;89.0;1.0;1.2;9.0;1.0
org.apache.commons.functor.core.IsSame;0.0;13.0;1.0;7.0;7.0;15.0;71.0;1.0;1.2;10.0;1.0
org.apache.commons.functor.core.algorithm.GeneratorContains;0.0;19.0;1.0;8.0;7.0;5.0;74.0;0.75;1.0;14.0;1.0
org.apache.commons.functor.core.composite.ConditionalUnaryProcedure;0.0;19.0;1.0;10.0;21.0;4.0;113.0;0.48;0.6;14.0;3.0
org.apache.commons.functor.core.IsNotEqual;0.0;14.0;1.0;8.0;7.0;15.0;72.0;1.0;1.2;11.0;1.0
org.apache.commons.functor.core.algorithm.FoldRight;0.0;24.0;1.0;8.0;9.0;0.0;132.0;0.5;0.6666666666666666;17.0;1.0
org.apache.commons.functor.core.composite.Not;0.0;11.0;1.0;10.0;14.0;9.0;78.0;0.6666666666666667;0.8;11.0;1.0
org.apache.commons.functor.core.composite.CompositeUnaryPredicate;0.0;19.0;1.0;11.0;10.0;5.0;87.0;0.5833333333333333;0.7;14.0;2.0
org.apache.commons.functor.core.composite.Conditional;0.0;27.0;1.0;12.0;12.0;66.0;172.0;1.0;0.0;20.0;1.0
org.apache.commons.functor.adapter.FullyBoundPredicate;0.0;15.0;1.0;10.0;22.0;9.0;95.0;0.5;0.6;13.0;1.0
org.apache.commons.functor.core.collection.FilteredIterator;0.0;19.0;1.0;17.0;23.0;22.0;158.0;0.6222222222222222;0.7;14.0;2.0
org.apache.commons.functor.core.composite.DoWhileProcedure;0.0;7.0;2.0;6.0;2.0;1.0;29.0;1.0;2.0;7.0;1.0
org.apache.commons.functor.core.collection.FilteredIterable;0.0;34.0;1.0;15.0;26.0;19.0;164.0;0.7619047619047619;0.8888888888888888;22.0;1.0
org.apache.commons.functor.core.composite.UnarySequence;0.0;20.0;1.0;14.0;10.0;5.0;104.0;0.5833333333333333;0.7;14.0;1.0
org.apache.commons.functor.core.composite.ConditionalPredicate;0.0;11.0;1.0;9.0;20.0;4.0;94.0;0.48;0.6;11.0;2.0
org.apache.commons.functor.core.composite.BinarySequence;0.0;20.0;1.0;14.0;10.0;5.0;102.0;0.5833333333333333;0.7;14.0;1.0
org.apache.commons.functor.core.collection.TransformedIterator;0.0;18.0;1.0;14.0;18.0;13.0;121.0;0.375;0.42857142857142855;11.0;2.0
org.apache.commons.functor.core.algorithm.IndexOfInGenerator$IndexProcedure;0.0;13.0;1.0;3.0;3.0;0.0;39.0;0.0;0.0;0.0;1.0
org.apache.commons.functor.adapter.BoundFunction;0.0;17.0;1.0;11.0;19.0;9.0;92.0;0.5555555555555556;0.6666666666666667;13.0;1.0
org.apache.commons.functor.core.composite.TransposedProcedure;0.0;18.0;1.0;10.0;13.0;9.0;81.0;0.6666666666666667;0.8;12.0;1.0
org.apache.commons.functor.core.comparator.IsLessThan;0.0;20.0;1.0;12.0;17.0;15.0;110.0;0.8095238095238095;0.9444444444444445;16.0;1.0
org.apache.commons.functor.core.algorithm.RecursiveEvaluation;0.0;15.0;1.0;9.0;15.0;3.0;85.0;0.6666666666666667;0.888888888888889;12.0;1.0
org.apache.commons.functor.core.IsNotNull;0.0;17.0;1.0;9.0;7.0;21.0;90.0;1.0;1.1666666666666667;12.0;1.0
org.apache.commons.functor.adapter.BinaryFunctionBinaryProcedure;0.0;15.0;1.0;10.0;13.0;9.0;81.0;0.6666666666666667;0.8;12.0;1.0
org.apache.commons.functor.adapter.BinaryFunctionUnaryFunction;0.0;14.0;1.0;10.0;11.0;9.0;68.0;0.33333333333333337;0.4;11.0;1.0
org.apache.commons.functor.core.collection.IsEmpty;0.0;19.0;1.0;19.0;21.0;36.0;115.0;1.0;1.125;14.0;1.0
org.apache.commons.functor.core.composite.TransformedBinaryProcedure$Helper;0.0;12.0;1.0;3.0;0.0;0.0;30.0;0.33333333333333337;0.33333333333333337;0.0;1.0
org.apache.commons.functor.generator.GenerateUntil;0.0;24.0;2.0;12.0;12.0;3.0;71.0;0.25;0.3333333333333333;16.0;1.0
org.apache.commons.functor.core.RightIdentity;0.0;10.0;1.0;4.0;2.0;1.0;44.0;1.0;2.0;8.0;1.0
org.apache.commons.functor.core.algorithm.InPlaceTransform;0.0;16.0;1.0;11.0;7.0;5.0;43.0;0.75;1.0;12.0;1.0
org.apache.commons.functor.core.collection.Size;0.0;18.0;1.0;17.0;16.0;28.0;92.0;0.9375;1.0714285714285714;14.0;1.0
org.apache.commons.functor.generator.GenerateWhile;0.0;24.0;2.0;12.0;12.0;3.0;71.0;0.25;0.3333333333333333;16.0;1.0
org.apache.commons.functor.core.IsInstance;0.0;15.0;1.0;9.0;6.0;15.0;66.0;0.9166666666666666;1.1;11.0;2.0
org.apache.commons.functor.core.composite.BaseUnaryPredicateList;2.0;18.0;1.0;12.0;7.0;18.0;115.0;0.6875;0.7857142857142857;14.0;3.0
org.apache.commons.functor.adapter.FunctionPredicate;0.0;14.0;1.0;10.0;14.0;9.0;71.0;0.6666666666666667;0.8;13.0;1.0
org.apache.commons.functor.adapter.BoundPredicate;0.0;15.0;1.0;10.0;18.0;9.0;94.0;0.5555555555555556;0.6666666666666667;13.0;1.0
org.apache.commons.functor.core.composite.UnaryCompositeBinaryFunction$Helper;0.0;12.0;1.0;3.0;1.0;0.0;36.0;0.25;0.25;0.0;1.0
org.apache.commons.functor.core.algorithm.FoldRight$FoldRightHelper;0.0;13.0;1.0;6.0;5.0;0.0;64.0;0.375;0.75;0.0;1.0
org.apache.commons.functor.generator.IteratorToGeneratorAdapter;0.0;16.0;2.0;11.0;13.0;4.0;79.0;0.19999999999999996;0.25;11.0;2.0
org.apache.commons.functor.adapter.IgnoreRightPredicate;0.0;15.0;1.0;10.0;14.0;9.0;71.0;0.6666666666666667;0.8;12.0;3.0
org.apache.commons.functor.core.composite.BinaryNot;0.0;15.0;1.0;10.0;14.0;9.0;80.0;0.6666666666666667;0.8;11.0;1.0
org.apache.commons.functor.core.composite.UnaryAnd;0.0;13.0;2.0;14.0;12.0;15.0;89.0;1.0;1.2;9.0;2.0
org.apache.commons.functor.core.IsNull;0.0;17.0;1.0;9.0;8.0;21.0;90.0;1.0;1.1666666666666667;12.0;1.0
org.apache.commons.functor.core.composite.TransformedBinaryFunction$Helper;0.0;11.0;1.0;3.0;1.0;0.0;30.0;0.33333333333333337;0.33333333333333337;0.0;1.0
org.apache.commons.functor.adapter.ProcedureUnaryProcedure;0.0;15.0;1.0;10.0;13.0;9.0;70.0;0.6666666666666667;0.8;13.0;1.0
org.apache.commons.functor.core.algorithm.GeneratorContains$ContainsProcedure;0.0;9.0;1.0;2.0;0.0;0.0;24.0;0.0;0.0;0.0;1.0
org.apache.commons.functor.core.comparator.Max;0.0;20.0;1.0;12.0;12.0;15.0;93.0;0.8095238095238095;0.9444444444444445;16.0;1.0
org.apache.commons.functor.core.composite.Sequence;0.0;16.0;1.0;14.0;10.0;5.0;104.0;0.5833333333333333;0.7;14.0;1.0
org.apache.commons.functor.generator.util.EachElement;0.0;19.0;1.0;8.0;8.0;6.0;52.0;1.0;0.0;15.0;1.0
org.apache.commons.functor.core.composite.Or;0.0;9.0;2.0;14.0;12.0;15.0;87.0;1.0;1.2;9.0;1.0
org.apache.commons.functor.adapter.BinaryPredicateBinaryFunction;0.0;15.0;1.0;10.0;14.0;9.0;82.0;0.6666666666666667;0.8;12.0;1.0
org.apache.commons.functor.core.LeftIdentity;0.0;10.0;1.0;4.0;2.0;1.0;43.0;1.0;2.0;8.0;1.0
org.apache.commons.functor.adapter.UnaryPredicateUnaryFunction;0.0;16.0;1.0;10.0;14.0;9.0;75.0;0.6666666666666667;0.8;13.0;2.0
org.apache.commons.functor.core.algorithm.UntilDo;0.0;7.0;2.0;5.0;1.0;0.0;23.0;1.0;1.0;7.0;1.0
org.apache.commons.functor.generator.util.IntegerRange;0.0;13.0;2.0;9.0;25.0;9.0;136.0;0.33333333333333337;0.4;11.0;1.0
org.apache.commons.functor.core.composite.ConditionalBinaryFunction;0.0;17.0;1.0;10.0;23.0;4.0;104.0;0.48;0.6;12.0;2.0
org.apache.commons.functor.core.composite.UnaryCompositeBinaryFunction;0.0;22.0;1.0;9.0;11.0;4.0;134.0;0.6666666666666667;0.8333333333333333;13.0;2.0
