CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
com.google.gson.internal.bind.JsonTreeWriter;0.0;28.0;2.0;33.0;48.0;100.0;174.0;0.8117647058823529;0.8625;27.0;3.0
com.google.gson.GsonBuilder;0.0;45.0;1.0;45.0;44.0;249.0;548.0;0.89;0.9270833333333334;36.0;2.0
com.google.gson.internal.bind.TimeTypeAdapter;0.0;26.0;2.0;9.0;5.0;0.0;25.0;0.5;1.0;23.0;2.0
com.google.gson.internal.Excluder;0.0;35.0;1.0;49.0;76.0;119.0;209.0;0.8529411764705882;0.90625;31.0;4.0
com.google.gson.JsonParser;0.0;18.0;1.0;9.0;5.0;3.0;58.0;1.0;0.0;18.0;1.0
com.google.gson.internal.reflect.UnsafeReflectionAccessor;0.0;19.0;2.0;11.0;9.0;5.0;54.0;0.6666666666666667;0.888888888888889;19.0;2.0
com.google.gson.Gson$FutureTypeAdapter;0.0;13.0;2.0;5.0;6.0;0.0;22.0;0.0;0.0;0.0;1.0
com.google.gson.internal.$Gson$Preconditions;0.0;8.0;1.0;2.0;4.0;1.0;16.0;1.0;0.0;8.0;8.0
com.google.gson.internal.Streams$AppendableWriter$CurrentWrite;0.0;8.0;1.0;3.0;3.0;0.0;10.0;0.0;0.0;0.0;1.0
com.google.gson.JsonNull;0.0;7.0;2.0;4.0;5.0;3.0;40.0;0.6666666666666667;1.0;7.0;9.0
com.google.gson.JsonObject;0.0;23.0;2.0;32.0;20.0;74.0;185.0;0.2777777777777778;0.29411764705882354;20.0;5.0
com.google.gson.internal.bind.ObjectTypeAdapter;0.0;27.0;2.0;20.0;21.0;1.0;71.0;0.75;1.5;22.0;2.0
com.google.gson.internal.bind.TreeTypeAdapter$GsonContextImpl;0.0;13.0;1.0;6.0;3.0;0.0;10.0;1.0;0.0;0.0;1.0
com.google.gson.internal.bind.CollectionTypeAdapterFactory$Adapter;0.0;21.0;2.0;12.0;9.0;0.0;39.0;0.25;0.5;0.0;1.0
com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator;0.0;15.0;1.0;4.0;7.0;1.0;31.0;0.33333333333333337;0.5;0.0;1.0
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory;0.0;54.0;1.0;40.0;37.0;14.0;205.0;0.8;0.96;44.0;3.0
com.google.gson.internal.LinkedTreeMap$EntrySet;0.0;21.0;3.0;10.0;11.0;10.0;32.0;1.0;0.0;0.0;1.0
com.google.gson.JsonIOException;0.0;5.0;4.0;0.0;0.0;0.0;19.0;1.0;0.0;5.0;9.0
com.google.gson.internal.bind.TypeAdapters;0.0;149.0;1.0;15.0;26.0;10.0;844.0;1.0;1.25;107.0;5.0
com.google.gson.internal.LinkedHashTreeMap$AvlBuilder;0.0;11.0;1.0;4.0;20.0;0.0;87.0;0.25;0.375;0.0;1.0
com.google.gson.internal.UnsafeAllocator;0.0;24.0;1.0;16.0;9.0;3.0;91.0;1.0;0.0;22.0;2.0
com.google.gson.JsonPrimitive;0.0;30.0;2.0;54.0;72.0;165.0;311.0;0.7045454545454546;0.7380952380952381;29.0;8.0
com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl;0.0;18.0;1.0;14.0;12.0;9.0;61.0;0.6666666666666667;0.8;0.0;1.0
com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper;0.0;21.0;2.0;9.0;12.0;2.0;53.0;0.5555555555555556;0.8333333333333334;19.0;5.0
com.google.gson.internal.LinkedHashTreeMap$KeySet;0.0;17.0;3.0;10.0;5.0;10.0;23.0;1.0;0.0;0.0;1.0
com.google.gson.stream.JsonScope;0.0;3.0;1.0;0.0;0.0;0.0;45.0;1.0;0.0;3.0;3.0
com.google.gson.JsonArray;0.0;28.0;2.0;54.0;58.0;0.0;350.0;0.0;0.0;27.0;6.0
com.google.gson.internal.LinkedTreeMap$Node;0.0;13.0;1.0;12.0;19.0;15.0;84.0;0.828125;0.9464285714285714;0.0;1.0
com.google.gson.internal.bind.TreeTypeAdapter$SingleTypeFactory;0.0;23.0;1.0;5.0;4.0;0.0;31.0;0.0;0.0;0.0;1.0
com.google.gson.internal.Streams;0.0;27.0;1.0;6.0;4.0;2.0;84.0;1.0;0.0;27.0;7.0
com.google.gson.internal.LinkedHashTreeMap$AvlIterator;0.0;8.0;1.0;2.0;6.0;0.0;27.0;0.0;0.0;0.0;1.0
com.google.gson.JsonParseException;2.0;5.0;3.0;0.0;0.0;0.0;31.0;1.0;0.0;5.0;9.0
