CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.hamcrest.collection.IsArrayWithSize;0.0;11.0;4.0;8.0;4.0;6.0;45.0;1.0;0.0;9.0;2.0
org.hamcrest.text.IsEqualCompressingWhiteSpace;0.0;11.0;3.0;12.0;4.0;14.0;61.0;0.6666666666666667;0.8;10.0;2.0
org.hamcrest.DiagnosingMatcher;3.0;9.0;2.0;4.0;1.0;3.0;12.0;1.0;0.0;7.0;5.0
org.hamcrest.core.AllOf;0.0;16.0;3.0;11.0;6.0;5.0;42.0;0.5;0.6666666666666666;12.0;5.0
org.hamcrest.core.Every;0.0;15.0;3.0;7.0;5.0;2.0;36.0;0.33333333333333337;0.5;9.0;3.0
org.hamcrest.collection.IsIterableContainingInAnyOrder$Matching;0.0;13.0;1.0;11.0;10.0;0.0;36.0;0.0;0.0;0.0;1.0
org.hamcrest.beans.SamePropertyValuesAs;0.0;35.0;3.0;32.0;24.0;42.0;142.0;0.825;0.9166666666666666;26.0;2.0
org.hamcrest.core.IsEqual;0.0;14.0;2.0;20.0;22.0;35.0;82.0;0.7777777777777778;0.875;12.0;20.0
org.hamcrest.text.IsEmptyString;0.0;13.0;3.0;10.0;5.0;15.0;62.0;0.8333333333333334;1.0;12.0;2.0
org.hamcrest.core.IsIterableContaining;0.0;26.0;3.0;18.0;15.0;20.0;119.0;0.7142857142857143;0.8333333333333334;17.0;5.0
org.hamcrest.collection.IsEmptyIterable;0.0;17.0;3.0;10.0;3.0;10.0;37.0;1.0;0.0;12.0;2.0
org.hamcrest.comparator.ComparatorMatcherBuilder;0.0;21.0;1.0;9.0;8.0;11.0;166.0;0.2857142857142857;0.3333333333333333;16.0;2.0
org.hamcrest.text.IsEqualIgnoringCase;0.0;11.0;3.0;7.0;2.0;5.0;43.0;0.5;0.6666666666666666;10.0;2.0
org.hamcrest.object.HasEqualValues$FieldMatcher;0.0;14.0;3.0;8.0;3.0;0.0;24.0;0.0;0.0;0.0;1.0
org.hamcrest.Condition$NotMatched;0.0;9.0;2.0;3.0;2.0;1.0;5.0;1.0;0.0;0.0;1.0
org.hamcrest.collection.HasItemInArray;0.0;15.0;3.0;8.0;1.0;2.0;25.0;0.5;0.75;12.0;2.0
org.hamcrest.collection.IsMapContaining;0.0;24.0;3.0;18.0;11.0;35.0;115.0;0.7777777777777778;0.875;13.0;2.0
org.hamcrest.number.IsNaN;0.0;10.0;3.0;7.0;2.0;6.0;26.0;1.0;0.0;9.0;2.0
org.hamcrest.core.Is;0.0;15.0;2.0;13.0;4.0;12.0;57.0;0.5;0.6;12.0;3.0
org.hamcrest.collection.IsIn;0.0;17.0;2.0;14.0;7.0;27.0;116.0;0.75;0.8571428571428571;14.0;2.0
org.hamcrest.collection.ArrayAsIterableMatcher;0.0;15.0;3.0;8.0;1.0;2.0;29.0;0.5555555555555556;0.8333333333333334;12.0;2.0
org.hamcrest.core.SubstringMatcher;3.0;10.0;3.0;9.0;3.0;7.0;40.0;0.6666666666666667;0.8333333333333333;9.0;4.0
org.hamcrest.Condition;0.0;18.0;1.0;8.0;4.0;15.0;55.0;0.8333333333333334;1.0;11.0;3.0
org.hamcrest.CustomMatcher;0.0;11.0;2.0;2.0;0.0;0.0;13.0;0.0;0.0;9.0;1.0
org.hamcrest.core.DescribedAs;0.0;16.0;2.0;17.0;5.0;5.0;54.0;0.6875;0.9166666666666666;13.0;4.0
org.hamcrest.CustomTypeSafeMatcher;0.0;11.0;3.0;2.0;0.0;0.0;13.0;0.0;0.0;9.0;1.0
org.hamcrest.TypeSafeDiagnosingMatcher;13.0;17.0;2.0;9.0;8.0;2.0;56.0;0.6666666666666667;1.0;14.0;19.0
org.hamcrest.beans.HasProperty;0.0;13.0;3.0;7.0;3.0;3.0;39.0;0.25;0.3333333333333333;11.0;2.0
org.hamcrest.object.HasToString;0.0;8.0;4.0;5.0;3.0;3.0;34.0;1.0;0.0;6.0;2.0
org.hamcrest.object.IsEventFrom;0.0;14.0;3.0;13.0;9.0;8.0;62.0;0.6;0.75;11.0;2.0
org.hamcrest.core.IsNull;0.0;14.0;2.0;10.0;6.0;15.0;60.0;1.0;0.0;12.0;6.0
org.hamcrest.collection.IsIterableContainingInOrder;0.0;29.0;3.0;14.0;8.0;14.0;135.0;0.6666666666666667;0.8;20.0;4.0
org.hamcrest.CoreMatchers;0.0;39.0;1.0;70.0;35.0;595.0;443.0;1.0;0.0;26.0;2.0
org.hamcrest.core.CombinableMatcher$CombinableBothMatcher;0.0;6.0;1.0;2.0;1.0;0.0;7.0;0.0;0.0;0.0;3.0
org.hamcrest.comparator.ComparatorMatcherBuilder$ComparatorMatcher;0.0;15.0;3.0;9.0;9.0;3.0;59.0;0.6388888888888888;0.8518518518518517;0.0;1.0
org.hamcrest.core.StringEndsWith;0.0;6.0;4.0;5.0;3.0;3.0;33.0;1.0;0.0;6.0;3.0
org.hamcrest.xml.HasXPath;0.0;29.0;3.0;26.0;15.0;34.0;144.0;0.8571428571428572;0.9642857142857143;24.0;2.0
org.hamcrest.beans.HasPropertyWithValue;0.0;36.0;3.0;32.0;17.0;25.0;119.0;0.78125;0.8928571428571429;26.0;2.0
org.hamcrest.MatcherAssert;0.0;10.0;1.0;9.0;2.0;3.0;22.0;1.0;0.0;9.0;1.0
org.hamcrest.core.AnyOf;0.0;14.0;3.0;8.0;3.0;6.0;33.0;1.0;0.0;12.0;6.0
org.hamcrest.core.ShortcutCombination;1.0;13.0;2.0;6.0;5.0;5.0;25.0;0.5;0.6666666666666666;10.0;2.0
org.hamcrest.Matchers;0.0;119.0;1.0;241.0;126.0;7875.0;1689.0;1.0;0.0;72.0;1.0
org.hamcrest.FeatureMatcher;6.0;13.0;3.0;8.0;3.0;2.0;41.0;0.6666666666666667;1.0;10.0;8.0
org.hamcrest.collection.IsArrayContainingInOrder;0.0;20.0;3.0;13.0;5.0;14.0;77.0;0.75;0.9;15.0;1.0
org.hamcrest.BaseDescription;1.0;28.0;1.0;35.0;43.0;78.0;133.0;1.0;0.0;24.0;2.0
org.hamcrest.core.IsNot;0.0;13.0;2.0;9.0;3.0;5.0;43.0;0.5;0.6666666666666666;10.0;4.0
org.hamcrest.collection.ArrayMatching;0.0;19.0;1.0;17.0;10.0;36.0;156.0;1.0;0.0;15.0;3.0
org.hamcrest.collection.IsIterableContainingInOrder$MatchSeries;0.0;14.0;1.0;13.0;11.0;0.0;43.0;0.16666666666666663;0.22222222222222218;0.0;1.0
org.hamcrest.object.IsCompatibleType;0.0;14.0;3.0;8.0;2.0;5.0;33.0;0.5;0.6666666666666666;10.0;2.0
org.hamcrest.core.CombinableMatcher$CombinableEitherMatcher;0.0;6.0;1.0;2.0;1.0;0.0;7.0;0.0;0.0;0.0;3.0
org.hamcrest.collection.IsIterableWithSize;0.0;14.0;4.0;8.0;4.0;3.0;42.0;1.0;0.0;10.0;2.0
org.hamcrest.io.FileMatchers;0.0;34.0;1.0;23.0;18.0;55.0;93.0;0.9090909090909091;1.0;27.0;1.0
org.hamcrest.collection.IsMapWithSize;0.0;13.0;4.0;7.0;4.0;6.0;46.0;1.0;0.0;10.0;2.0
org.hamcrest.collection.IsArrayContainingInAnyOrder;0.0;21.0;3.0;14.0;5.0;14.0;93.0;0.75;0.9;16.0;1.0
org.hamcrest.collection.IsEmptyCollection;0.0;16.0;3.0;9.0;3.0;10.0;40.0;1.0;0.0;11.0;2.0
org.hamcrest.core.StringContains;0.0;6.0;4.0;5.0;3.0;3.0;37.0;1.0;0.0;6.0;3.0
org.hamcrest.internal.NullSafety;0.0;13.0;1.0;3.0;3.0;0.0;8.0;1.0;0.0;11.0;3.0
org.hamcrest.TypeSafeMatcher;21.0;16.0;2.0;12.0;8.0;5.0;71.0;0.75;1.0;13.0;23.0
org.hamcrest.Description$NullDescription;0.0;8.0;1.0;7.0;7.0;21.0;37.0;1.0;0.0;0.0;2.0
org.hamcrest.internal.SelfDescribingValue;0.0;7.0;1.0;2.0;0.0;0.0;10.0;0.0;0.0;6.0;2.0
org.hamcrest.internal.ReflectiveTypeFinder;0.0;9.0;1.0;11.0;9.0;2.0;39.0;0.5555555555555556;0.8333333333333334;8.0;4.0
org.hamcrest.core.CombinableMatcher;0.0;24.0;3.0;12.0;8.0;18.0;72.0;0.5714285714285714;0.6666666666666666;13.0;3.0
org.hamcrest.collection.IsIterableContainingInRelativeOrder$MatchSeriesInRelativeOrder;0.0;16.0;1.0;8.0;9.0;0.0;36.0;0.125;0.25;0.0;1.0
org.hamcrest.text.StringContainsInOrder;0.0;12.0;3.0;9.0;7.0;9.0;60.0;0.6;0.75;11.0;2.0
org.hamcrest.core.IsCollectionContaining;0.0;17.0;3.0;12.0;5.0;14.0;88.0;0.6666666666666667;0.8;11.0;1.0
org.hamcrest.internal.ArrayIterator;0.0;12.0;1.0;5.0;3.0;2.0;24.0;0.33333333333333337;0.5;12.0;2.0
org.hamcrest.collection.IsIterableContainingInAnyOrder;0.0;28.0;3.0;13.0;8.0;9.0;140.0;0.6;0.75;17.0;4.0
org.hamcrest.StringDescription;0.0;12.0;2.0;10.0;3.0;7.0;54.0;0.4;0.5;12.0;3.0
org.hamcrest.object.HasEqualValues;0.0;23.0;3.0;14.0;7.0;5.0;70.0;0.625;0.8333333333333334;18.0;1.0
org.hamcrest.text.CharSequenceLength;0.0;12.0;4.0;5.0;3.0;3.0;42.0;1.0;0.0;10.0;2.0
org.hamcrest.number.IsCloseTo;0.0;12.0;3.0;9.0;4.0;7.0;48.0;0.5;0.625;11.0;2.0
org.hamcrest.beans.SamePropertyValuesAs$PropertyMatcher;0.0;17.0;3.0;7.0;3.0;0.0;25.0;0.16666666666666663;0.33333333333333326;0.0;1.0
org.hamcrest.number.OrderingComparison;0.0;5.0;1.0;11.0;5.0;10.0;72.0;1.0;0.0;5.0;2.0
org.hamcrest.BaseMatcher;13.0;12.0;1.0;7.0;5.0;6.0;33.0;1.0;0.0;11.0;15.0
org.hamcrest.beans.PropertyUtil;0.0;12.0;1.0;8.0;5.0;1.0;34.0;1.0;2.0;12.0;4.0
org.hamcrest.internal.SelfDescribingValueIterator;0.0;11.0;1.0;6.0;2.0;0.0;20.0;0.0;0.0;8.0;2.0
org.hamcrest.collection.IsCollectionWithSize;0.0;14.0;4.0;6.0;3.0;3.0;36.0;1.0;0.0;10.0;2.0
org.hamcrest.core.IsSame;0.0;11.0;2.0;6.0;4.0;5.0;39.0;0.5;0.6666666666666666;9.0;3.0
org.hamcrest.Condition$Matched;0.0;13.0;2.0;6.0;4.0;0.0;22.0;0.0;0.0;0.0;1.0
org.hamcrest.collection.IsIterableContainingInRelativeOrder;0.0;29.0;3.0;13.0;5.0;9.0;105.0;0.6;0.75;19.0;2.0
org.hamcrest.text.IsBlankString;0.0;14.0;3.0;7.0;3.0;6.0;38.0;0.75;1.0;13.0;2.0
org.hamcrest.collection.IsArray;0.0;15.0;3.0;16.0;17.0;18.0;83.0;0.5714285714285714;0.6666666666666666;12.0;2.0
org.hamcrest.core.StringStartsWith;0.0;6.0;4.0;5.0;3.0;3.0;31.0;1.0;0.0;6.0;3.0
org.hamcrest.core.StringRegularExpression;0.0;11.0;3.0;10.0;5.0;5.0;50.0;0.5;0.6666666666666666;10.0;2.0
org.hamcrest.core.IsAnything;0.0;11.0;2.0;5.0;3.0;6.0;36.0;0.75;1.0;9.0;5.0
org.hamcrest.core.IsInstanceOf;0.0;30.0;3.0;11.0;25.0;10.0;78.0;0.8;1.0;27.0;4.0
org.hamcrest.text.MatchesPattern;0.0;11.0;3.0;8.0;3.0;5.0;31.0;0.5;0.6666666666666666;10.0;2.0
org.hamcrest.number.BigDecimalCloseTo;0.0;12.0;3.0;12.0;4.0;7.0;51.0;0.5;0.625;11.0;2.0
