CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.io.comparator.AbstractFileComparator;9.0;12.0;1.0;7.0;5.0;3.0;44.0;1.0;0.0;12.0;10.0
org.apache.commons.io.input.XmlStreamReaderException;0.0;5.0;3.0;5.0;5.0;10.0;101.0;0.8333333333333334;1.0416666666666667;5.0;2.0
org.apache.commons.io.FileCleaningTracker$Tracker;0.0;11.0;3.0;3.0;2.0;0.0;43.0;0.25;0.5;0.0;1.0
org.apache.commons.io.input.CloseShieldInputStream;0.0;7.0;4.0;1.0;0.0;0.0;21.0;1.0;0.0;7.0;1.0
org.apache.commons.io.filefilter.EmptyFileFilter;0.0;11.0;2.0;4.0;8.0;0.0;32.0;1.0;1.0;11.0;1.0
org.apache.commons.io.input.ObservableInputStream$Observer;0.0;6.0;1.0;5.0;0.0;10.0;38.0;1.0;0.0;0.0;2.0
org.apache.commons.io.filefilter.AgeFileFilter;0.0;10.0;2.0;4.0;2.0;0.0;107.0;0.33333333333333337;0.6666666666666667;10.0;2.0
org.apache.commons.io.output.ByteArrayOutputStream;0.0;28.0;2.0;31.0;58.0;70.0;364.0;0.7666666666666666;0.8214285714285714;26.0;3.0
org.apache.commons.io.ByteOrderParser;0.0;5.0;1.0;3.0;4.0;0.0;38.0;1.0;0.0;5.0;1.0
org.apache.commons.io.filefilter.SuffixFileFilter;0.0;16.0;2.0;7.0;14.0;0.0;152.0;0.4444444444444444;0.6666666666666666;15.0;3.0
org.apache.commons.io.input.NullInputStream;0.0;14.0;2.0;18.0;41.0;52.0;274.0;0.7142857142857143;0.7692307692307693;14.0;1.0
org.apache.commons.io.FileCleaningTracker;0.0;29.0;1.0;16.0;10.0;26.0;243.0;0.8;0.9142857142857144;24.0;4.0
org.apache.commons.io.input.TeeInputStream;0.0;11.0;4.0;10.0;7.0;0.0;113.0;0.375;0.5;11.0;1.0
org.apache.commons.io.input.WindowsLineEndingInputStream;0.0;10.0;2.0;9.0;28.0;6.0;106.0;0.6333333333333333;0.7916666666666667;10.0;1.0
org.apache.commons.io.input.CharSequenceReader;0.0;17.0;2.0;13.0;30.0;10.0;132.0;0.59375;0.6785714285714286;17.0;1.0
org.apache.commons.io.comparator.DefaultFileComparator;0.0;9.0;2.0;2.0;1.0;0.0;21.0;1.0;1.0;9.0;1.0
org.apache.commons.io.comparator.CompositeFileComparator;0.0;22.0;2.0;7.0;9.0;0.0;77.0;0.6666666666666667;1.3333333333333335;19.0;1.0
org.apache.commons.io.output.ChunkedWriter;0.0;11.0;3.0;3.0;2.0;0.0;54.0;0.5;0.5;11.0;1.0
org.apache.commons.io.FileUtils;0.0;70.0;1.0;265.0;388.0;6773.0;3029.0;0.9957264957264957;1.0043103448275863;67.0;10.0
org.apache.commons.io.output.BrokenOutputStream;0.0;7.0;2.0;3.0;0.0;0.0;53.0;0.0;0.0;7.0;1.0
org.apache.commons.io.output.LockableFileWriter;0.0;20.0;2.0;25.0;6.0;21.0;310.0;0.6666666666666667;0.7407407407407407;20.0;1.0
org.apache.commons.io.comparator.DirectoryFileComparator;0.0;9.0;2.0;4.0;5.0;1.0;35.0;1.0;2.0;9.0;1.0
org.apache.commons.io.filefilter.MagicNumberFileFilter;0.0;18.0;2.0;11.0;8.0;0.0;203.0;0.33333333333333337;0.6666666666666667;18.0;2.0
