CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.jsoup.helper.DataUtil;0.0;39.0;1.0;64.0;99.0;75.0;238.0;0.8974358974358975;0.9722222222222222;39.0;3.0
org.jsoup.helper.ChangeNotifyingArrayList;0.0;11.0;3.0;24.0;8.0;66.0;72.0;1.0;0.0;8.0;2.0
org.jsoup.select.Evaluator$IsOnlyOfType;0.0;11.0;2.0;6.0;9.0;1.0;16.0;1.0;0.0;0.0;2.0
org.jsoup.safety.Whitelist$TypedValue;0.0;9.0;1.0;6.0;19.0;0.0;31.0;0.0;0.0;0.0;1.0
org.jsoup.select.NodeTraversor;0.0;13.0;1.0;15.0;51.0;10.0;124.0;0.8;1.0;13.0;8.0
org.jsoup.select.CombiningEvaluator$And;0.0;12.0;3.0;5.0;6.0;1.0;22.0;1.0;0.0;0.0;2.0
org.jsoup.parser.Token$EndTag;0.0;6.0;3.0;2.0;1.0;0.0;9.0;1.0;0.0;0.0;5.0
org.jsoup.helper.HttpConnection$Request;0.0;25.0;2.0;30.0;26.0;286.0;141.0;0.92;0.9583333333333334;0.0;1.0
org.jsoup.nodes.Document;0.0;35.0;3.0;69.0;59.0;262.0;557.0;0.8854166666666666;0.9239130434782609;33.0;27.0
org.jsoup.Jsoup;0.0;18.0;1.0;32.0;15.0;105.0;233.0;1.0;0.0;18.0;6.0
org.jsoup.parser.HtmlTreeBuilder;0.0;41.0;2.0;152.0;238.0;2797.0;711.0;0.9635126777983921;0.9761904761904762;39.0;2.0
org.jsoup.UnsupportedMimeTypeException;0.0;5.0;3.0;4.0;3.0;1.0;21.0;0.33333333333333337;0.5;5.0;2.0
org.jsoup.select.Evaluator$IndexEquals;0.0;8.0;3.0;4.0;3.0;1.0;14.0;1.0;0.0;0.0;3.0
org.jsoup.parser.Token$Tag;0.0;15.0;2.0;35.0;27.0;113.0;137.0;0.7901234567901234;0.8366013071895424;0.0;5.0
org.jsoup.select.Evaluator$TagEndsWith;0.0;6.0;2.0;5.0;2.0;0.0;15.0;0.0;0.0;0.0;2.0
org.jsoup.select.Evaluator$Tag;0.0;6.0;2.0;5.0;2.0;0.0;15.0;0.0;0.0;0.0;3.0
org.jsoup.nodes.LeafNode;5.0;13.0;2.0;28.0;18.0;81.0;89.0;0.7857142857142857;0.8461538461538461;13.0;8.0
org.jsoup.select.Selector;0.0;20.0;1.0;15.0;13.0;10.0;89.0;1.0;0.0;18.0;4.0
org.jsoup.select.Evaluator$AttributeWithValueEnding;0.0;9.0;3.0;7.0;3.0;0.0;14.0;1.0;0.0;0.0;3.0
org.jsoup.select.Collector$FirstFinder;0.0;12.0;1.0;3.0;5.0;1.0;25.0;0.5;1.0;0.0;1.0
org.jsoup.safety.Whitelist$Protocol;0.0;4.0;2.0;1.0;1.0;0.0;7.0;1.0;0.0;0.0;1.0
org.jsoup.select.Evaluator$AttributeStarting;0.0;11.0;2.0;8.0;5.0;0.0;22.0;0.0;0.0;0.0;3.0
org.jsoup.nodes.DataNode;0.0;13.0;3.0;13.0;5.0;21.0;62.0;1.0;0.0;13.0;5.0
org.jsoup.nodes.Attributes;0.0;46.0;1.0;67.0;78.0;260.0;412.0;0.7888888888888889;0.8160919540229885;40.0;16.0
org.jsoup.helper.W3CDom;0.0;39.0;1.0;17.0;3.0;3.0;147.0;0.6666666666666667;1.0;37.0;1.0
org.jsoup.select.Evaluator$ContainsData;0.0;7.0;2.0;6.0;2.0;0.0;15.0;0.0;0.0;0.0;2.0
org.jsoup.helper.StringUtil;0.0;21.0;1.0;52.0;97.0;120.0;242.0;0.9375;1.0;20.0;15.0
org.jsoup.nodes.Attributes$Dataset;0.0;22.0;2.0;6.0;2.0;1.0;55.0;0.5;1.0;0.0;1.0
org.jsoup.parser.Token$Comment;0.0;7.0;2.0;6.0;3.0;2.0;22.0;0.5;0.75;0.0;4.0
org.jsoup.examples.Wikipedia;0.0;13.0;1.0;11.0;1.0;1.0;13.0;1.0;0.0;13.0;1.0
org.jsoup.parser.Parser;0.0;21.0;1.0;34.0;22.0;135.0;200.0;0.8333333333333334;0.8823529411764706;19.0;10.0
org.jsoup.select.Evaluator$AttributeWithValueMatching;0.0;10.0;2.0;8.0;3.0;0.0;18.0;0.0;0.0;0.0;3.0
org.jsoup.parser.Tag;0.0;13.0;1.0;30.0;47.0;138.0;303.0;0.8852941176470588;0.931888544891641;12.0;10.0
org.jsoup.parser.Token$CData;0.0;5.0;3.0;2.0;1.0;0.0;10.0;1.0;0.0;0.0;1.0
org.jsoup.select.Elements;0.0;31.0;3.0;91.0;106.0;1081.0;619.0;1.0;0.0;25.0;13.0
org.jsoup.select.Evaluator$AllElements;0.0;6.0;2.0;2.0;2.0;1.0;10.0;1.0;0.0;0.0;3.0
