CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.junit.runner.Request;3.0;21.0;1.0;21.0;11.0;55.0;142.0;1.0;0.0;21.0;10.0
org.junit.experimental.categories.IncludeCategories;0.0;15.0;2.0;1.0;1.0;0.0;25.0;1.0;0.0;15.0;1.0
org.junit.validator.AnnotationsValidator$AnnotatableValidator;0.0;19.0;1.0;12.0;5.0;6.0;33.0;0.75;1.0;0.0;1.0
org.junit.rules.ExpectedException$ExpectedExceptionStatement;0.0;6.0;2.0;5.0;2.0;0.0;18.0;0.0;0.0;0.0;1.0
org.junit.internal.builders.NullBuilder;0.0;8.0;2.0;1.0;1.0;0.0;4.0;1.0;0.0;8.0;2.0
junit.framework.TestSuite;1.0;34.0;1.0;57.0;47.0;166.0;274.0;0.75;0.7894736842105263;29.0;7.0
junit.extensions.TestSetup;0.0;10.0;3.0;8.0;0.0;3.0;29.0;1.0;0.0;10.0;1.0
org.junit.internal.ArrayComparisonFailure;0.0;15.0;3.0;9.0;4.0;2.0;53.0;0.6666666666666667;1.0;14.0;3.0
org.junit.internal.runners.InitializationError;0.0;8.0;3.0;1.0;1.0;0.0;24.0;0.5;0.5;8.0;4.0
org.junit.rules.Verifier;1.0;9.0;1.0;5.0;1.0;1.0;16.0;1.0;0.0;9.0;2.0
junit.textui.ResultPrinter;0.0;19.0;1.0;42.0;14.0;120.0;122.0;0.9375;1.0;18.0;2.0
org.junit.ComparisonFailure$ComparisonCompactor$DiffExtractor;0.0;7.0;1.0;9.0;11.0;7.0;37.0;0.6;0.75;0.0;1.0
org.junit.internal.runners.rules.ValidationError;0.0;9.0;3.0;0.0;0.0;0.0;3.0;1.0;0.0;7.0;2.0
org.junit.internal.runners.rules.RuleMemberValidator$MemberMustBeStatic;0.0;15.0;1.0;3.0;1.0;0.0;6.0;1.0;0.0;0.0;1.0
org.junit.internal.runners.SuiteMethod;1.0;14.0;3.0;7.0;2.0;0.0;18.0;1.0;0.0;13.0;3.0
org.junit.experimental.results.PrintableResult;0.0;16.0;1.0;11.0;4.0;5.0;40.0;0.5;0.6666666666666666;15.0;2.0
junit.extensions.ActiveTestSuite;0.0;15.0;2.0;12.0;3.0;3.0;55.0;0.25;0.3333333333333333;15.0;1.0
org.junit.experimental.theories.Theories;0.0;46.0;4.0;37.0;28.0;28.0;233.0;1.0;0.0;40.0;1.0
org.junit.internal.requests.ClassRequest;0.0;10.0;2.0;2.0;5.0;0.0;31.0;0.0;0.0;10.0;2.0
org.junit.rules.Timeout;0.0;20.0;1.0;14.0;8.0;19.0;192.0;0.7142857142857143;0.8333333333333334;20.0;1.0
junit.framework.TestCase;0.0;26.0;2.0;101.0;10.0;1173.0;469.0;0.9387755102040817;0.9583333333333334;26.0;7.0
org.junit.AssumptionViolatedException;0.0;7.0;4.0;0.0;0.0;0.0;31.0;1.0;0.0;7.0;4.0
org.junit.Test$None;0.0;3.0;2.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;2.0
org.junit.runner.manipulation.Filter;0.0;12.0;1.0;14.0;19.0;10.0;104.0;0.8;1.0;12.0;15.0
org.junit.internal.runners.statements.FailOnTimeout$CallableStatement;0.0;12.0;1.0;5.0;2.0;0.0;17.0;0.0;0.0;0.0;1.0
org.junit.internal.requests.FilterRequest;0.0;10.0;2.0;6.0;2.0;0.0;32.0;0.0;0.0;10.0;2.0
org.junit.experimental.categories.CategoryValidator;0.0;24.0;2.0;10.0;4.0;1.0;34.0;0.5;1.0;21.0;1.0
org.junit.ComparisonFailure;0.0;14.0;3.0;5.0;3.0;1.0;158.0;0.5833333333333333;0.875;14.0;2.0
