CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.lang3.time.FastDatePrinter$TextField;0.0;12.0;1.0;5.0;5.0;0.0;37.0;0.25;0.5;0.0;1.0
org.apache.commons.lang3.reflect.TypeLiteral;0.0;17.0;1.0;6.0;9.0;3.0;48.0;0.6666666666666667;0.888888888888889;14.0;1.0
org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy;0.0;17.0;3.0;5.0;2.0;0.0;35.0;0.0;0.0;0.0;1.0
org.apache.commons.lang3.StringUtils;0.0;46.0;1.0;399.0;1819.0;25431.0;9298.0;0.9466584917228694;0.9507389162561577;40.0;54.0
org.apache.commons.lang3.CharEncoding;0.0;8.0;1.0;2.0;5.0;0.0;69.0;1.0;1.0;8.0;1.0
org.apache.commons.lang3.builder.HashCodeBuilder;0.0;37.0;1.0;87.0;103.0;386.0;889.0;0.7411764705882353;0.7636363636363637;33.0;5.0
org.apache.commons.lang3.text.FormattableUtils;0.0;18.0;1.0;14.0;17.0;10.0;112.0;0.8;1.0;18.0;1.0
org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNameRule;0.0;15.0;1.0;8.0;4.0;1.0;43.0;0.5;1.0;0.0;1.0
org.apache.commons.lang3.text.ExtendedMessageFormat;0.0;36.0;3.0;65.0;108.0;116.0;455.0;0.8431372549019608;0.8958333333333334;31.0;1.0
org.apache.commons.lang3.concurrent.CircuitBreakingException;0.0;5.0;3.0;0.0;0.0;0.0;40.0;1.0;0.0;5.0;1.0
org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategyClosed;0.0;7.0;2.0;5.0;3.0;1.0;17.0;1.0;0.0;0.0;1.0
org.apache.commons.lang3.time.StopWatch;0.0;20.0;1.0;31.0;38.0;105.0;490.0;0.7456140350877193;0.7870370370370371;20.0;1.0
org.apache.commons.lang3.builder.ReflectionDiffBuilder;0.0;19.0;1.0;17.0;10.0;2.0;68.0;0.33333333333333337;0.5;19.0;1.0
org.apache.commons.lang3.BooleanUtils;0.0;13.0;1.0;54.0;295.0;764.0;1069.0;1.0;0.0;13.0;5.0
org.apache.commons.lang3.builder.StandardToStringStyle;0.0;7.0;2.0;80.0;20.0;780.0;528.0;1.0;1.0256410256410255;7.0;1.0
org.apache.commons.lang3.text.StrMatcher$StringMatcher;0.0;9.0;2.0;4.0;9.0;0.0;41.0;0.0;0.0;0.0;1.0
org.apache.commons.lang3.mutable.MutableByte;0.0;16.0;2.0;31.0;22.0;26.0;362.0;0.5185185185185186;0.5384615384615384;16.0;1.0
