CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.math3.linear.DefaultRealMatrixChangingVisitor;0.0;6.0;1.0;3.0;2.0;3.0;14.0;1.0;0.0;6.0;2.0
org.apache.commons.math3.analysis.function.Add;0.0;4.0;1.0;1.0;1.0;0.0;4.0;1.0;0.0;4.0;2.0
org.apache.commons.math3.linear.RealVectorFormat;0.0;20.0;1.0;35.0;30.0;49.0;244.0;0.8909090909090909;0.9800000000000001;19.0;2.0
org.apache.commons.math3.ode.nonstiff.ClassicalRungeKuttaFieldStepInterpolator;0.0;20.0;3.0;16.0;6.0;1.0;76.0;1.0;0.0;15.0;2.0
org.apache.commons.math3.optimization.univariate.SimpleUnivariateValueChecker;0.0;11.0;2.0;6.0;8.0;0.0;95.0;0.0;0.0;10.0;2.0
org.apache.commons.math3.ode.nonstiff.AdamsMoultonFieldIntegrator;0.0;42.0;5.0;34.0;18.0;0.0;252.0;1.0;1.0;34.0;1.0
org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction;0.0;16.0;1.0;7.0;6.0;0.0;45.0;0.0;0.0;0.0;1.0
org.apache.commons.math3.ode.sampling.AbstractFieldStepInterpolator;2.0;11.0;1.0;14.0;7.0;30.0;130.0;0.7777777777777778;0.875;10.0;13.0
org.apache.commons.math3.linear.SingularValueDecomposition;0.0;21.0;1.0;23.0;29.0;38.0;686.0;0.875;0.9545454545454546;21.0;3.0
org.apache.commons.math3.exception.util.ArgUtils;0.0;7.0;1.0;4.0;6.0;0.0;27.0;1.0;0.0;6.0;2.0
org.apache.commons.math3.optimization.univariate.BracketFinder;0.0;14.0;1.0;18.0;40.0;33.0;252.0;0.81;0.8999999999999999;14.0;2.0
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver;0.0;19.0;3.0;21.0;72.0;6.0;367.0;0.7666666666666666;0.9583333333333333;19.0;2.0
org.apache.commons.math3.ml.clustering.FuzzyKMeansClusterer;0.0;37.0;2.0;38.0;62.0;55.0;357.0;0.7259259259259259;0.7777777777777778;31.0;1.0
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm;0.0;14.0;1.0;20.0;23.0;22.0;205.0;0.6388888888888888;0.71875;14.0;2.0
org.apache.commons.math3.optim.BaseOptimizer$MaxIterCallback;0.0;7.0;1.0;1.0;0.0;0.0;8.0;1.0;0.0;0.0;1.0
org.apache.commons.math3.ode.nonstiff.MidpointFieldIntegrator;0.0;19.0;3.0;11.0;4.0;6.0;45.0;1.0;0.0;14.0;1.0
org.apache.commons.math3.special.Erf;0.0;8.0;1.0;15.0;31.0;10.0;215.0;0.8;1.0;8.0;4.0
org.apache.commons.math3.ode.nonstiff.GillIntegrator;0.0;6.0;3.0;0.0;0.0;0.0;26.0;1.0;0.0;6.0;1.0
org.apache.commons.math3.stat.clustering.KMeansPlusPlusClusterer;0.0;31.0;1.0;31.0;90.0;25.0;471.0;0.75;0.8571428571428571;24.0;1.0
