CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.mockito.internal.configuration.plugins.PluginInitializer;0.0;19.0;1.0;13.0;6.0;0.0;43.0;0.0;0.0;17.0;2.0
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls;0.0;22.0;1.0;8.0;6.0;0.0;36.0;0.5;0.5;20.0;1.0
org.mockito.internal.hamcrest.MatcherGenericTypeExtractor;0.0;6.0;1.0;2.0;1.0;0.0;9.0;1.0;0.0;6.0;2.0
org.mockito.internal.util.ObjectMethodsGuru;0.0;11.0;1.0;8.0;11.0;1.0;17.0;1.0;0.0;10.0;6.0
org.mockito.internal.verification.AtLeast;0.0;15.0;1.0;13.0;6.0;3.0;35.0;0.25;0.3333333333333333;15.0;2.0
org.mockito.internal.handler.MockHandlerFactory;0.0;7.0;1.0;1.0;1.0;0.0;6.0;1.0;0.0;7.0;2.0
org.mockito.internal.invocation.TypeSafeMatching;0.0;15.0;1.0;16.0;15.0;10.0;57.0;0.8;1.0;13.0;2.0
org.mockito.internal.matchers.InstanceOf;0.0;12.0;1.0;5.0;4.0;1.0;35.0;0.5;1.0;11.0;2.0
org.mockito.internal.debugging.VerboseMockInvocationLogger;0.0;15.0;1.0;24.0;5.0;15.0;57.0;0.6428571428571428;0.75;15.0;2.0
org.mockito.internal.util.concurrent.WeakConcurrentMap$WithInlinedExpunction;0.0;10.0;3.0;13.0;6.0;15.0;40.0;1.0;0.0;0.0;5.0
org.mockito.internal.exceptions.stacktrace.StackTraceFilter;0.0;14.0;1.0;7.0;7.0;0.0;37.0;0.5;1.0;13.0;3.0
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool;0.0;15.0;1.0;12.0;12.0;3.0;35.0;1.0;0.0;13.0;2.0
org.mockito.internal.invocation.finder.AllInvocationsFinder;0.0;16.0;1.0;5.0;4.0;1.0;34.0;1.0;0.0;13.0;6.0
org.mockito.internal.runners.util.FailureDetector;0.0;7.0;2.0;3.0;1.0;0.0;12.0;0.0;0.0;7.0;2.0
