CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
examples.nntp.NNTPUtils;0.0;10.0;1.0;3.0;2.0;0.0;19.0;1.0;0.0;9.0;1.0
org.apache.commons.net.util.KeyManagerUtils$ClientKeyStore;0.0;11.0;1.0;3.0;3.0;3.0;28.0;0.6666666666666667;1.0;0.0;1.0
org.apache.commons.net.ftp.parser.MVSFTPEntryParser;0.0;16.0;4.0;35.0;74.0;41.0;519.0;0.8384615384615385;0.9316239316239316;15.0;2.0
examples.unix.fwhois;0.0;15.0;1.0;14.0;4.0;0.0;56.0;1.0;0.0;15.0;1.0
org.apache.commons.net.ftp.parser.UnixFTPEntryParser;0.0;21.0;4.0;31.0;36.0;3.0;342.0;0.8181818181818181;1.2272727272727273;19.0;4.0
org.apache.commons.net.io.CopyStreamException;0.0;5.0;3.0;3.0;2.0;1.0;40.0;0.75;1.5;5.0;2.0
org.apache.commons.net.ftp.FTPSServerSocketFactory;0.0;10.0;2.0;12.0;5.0;4.0;40.0;0.19999999999999996;0.25;10.0;2.0
org.apache.commons.net.ftp.FTPSTrustManager;0.0;9.0;1.0;4.0;3.0;3.0;26.0;0.6666666666666667;1.0;9.0;1.0
org.apache.commons.net.smtp.SMTPSClient;1.0;31.0;4.0;42.0;21.0;109.0;325.0;0.8875;0.9466666666666667;31.0;2.0
org.apache.commons.net.smtp.SMTPConnectionClosedException;0.0;4.0;3.0;0.0;0.0;0.0;20.0;1.0;0.0;4.0;2.0
org.apache.commons.net.imap.AuthenticatingIMAPClient;0.0;26.0;5.0;24.0;31.0;3.0;232.0;1.0;0.0;26.0;1.0
org.apache.commons.net.bsd.RExecClient;1.0;19.0;2.0;31.0;17.0;29.0;231.0;0.7777777777777778;0.875;19.0;6.0
org.apache.commons.net.pop3.POP3;3.0;27.0;2.0;35.0;23.0;73.0;298.0;0.8883928571428571;0.9567307692307693;26.0;5.0
org.apache.commons.net.ftp.FTPSClient;0.0;39.0;4.0;97.0;97.0;868.0;872.0;0.9629360465116279;0.9858630952380952;39.0;2.0
org.apache.commons.net.DatagramSocketClient;6.0;13.0;1.0;24.0;11.0;60.0;263.0;0.7111111111111111;0.761904761904762;13.0;15.0
org.apache.commons.net.smtp.AuthenticatingSMTPClient;0.0;26.0;5.0;34.0;30.0;15.0;285.0;1.0;0.0;26.0;1.0
org.apache.commons.net.ftp.parser.MLSxEntryParser;0.0;22.0;2.0;37.0;82.0;9.0;211.0;0.75;0.9375;21.0;2.0
examples.ntp.SimpleNTPServer;0.0;27.0;1.0;45.0;16.0;21.0;193.0;0.6388888888888888;0.71875;27.0;1.0
org.apache.commons.net.util.SubnetUtils;0.0;16.0;1.0;22.0;26.0;54.0;334.0;0.9181818181818182;1.01;16.0;2.0
org.apache.commons.net.ntp.NTPUDPClient;0.0;15.0;2.0;17.0;4.0;3.0;97.0;0.625;0.8333333333333334;15.0;2.0
org.apache.commons.net.echo.EchoTCPClient;0.0;5.0;3.0;1.0;1.0;0.0;28.0;1.0;1.0;5.0;2.0
org.apache.commons.net.ftp.FTP;6.0;37.0;2.0;125.0;117.0;2894.0;1766.0;0.9837662337662337;0.9967105263157895;36.0;6.0
examples.mail.SMTPMail;0.0;27.0;1.0;27.0;12.0;0.0;119.0;1.0;0.0;26.0;1.0
examples.nntp.PostMessage;0.0;24.0;1.0;25.0;19.0;0.0;135.0;1.0;0.0;24.0;1.0
org.apache.commons.net.nntp.NNTPReply;0.0;4.0;1.0;5.0;20.0;10.0;128.0;1.0;1.25;4.0;4.0
examples.mail.IMAPImportMbox;0.0;29.0;1.0;40.0;40.0;10.0;150.0;0.8;1.0;28.0;1.0
