CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.pool2.BaseObject;6.0;7.0;1.0;7.0;1.0;1.0;20.0;1.0;0.0;7.0;6.0
org.apache.commons.pool2.PoolUtils$SynchronizedKeyedPooledObjectFactory;0.0;18.0;1.0;17.0;3.0;0.0;103.0;0.08333333333333337;0.1;0.0;1.0
org.apache.commons.pool2.impl.SoftReferenceObjectPool;0.0;36.0;3.0;53.0;44.0;41.0;411.0;0.6428571428571428;0.6923076923076923;28.0;1.0
org.apache.commons.pool2.PoolUtils$ObjectPoolMinIdleTimerTask;0.0;16.0;2.0;10.0;4.0;0.0;61.0;0.0;0.0;0.0;1.0
org.apache.commons.pool2.PoolUtils$TimerHolder;0.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
org.apache.commons.pool2.impl.LinkedBlockingDeque$AbstractItr;0.0;14.0;1.0;14.0;20.0;17.0;120.0;0.6666666666666667;0.7777777777777777;0.0;1.0
org.apache.commons.pool2.impl.LinkedBlockingDeque$Itr;0.0;7.0;2.0;2.0;2.0;1.0;4.0;1.0;0.0;0.0;1.0
org.apache.commons.pool2.PoolUtils;0.0;66.0;1.0;31.0;53.0;136.0;1792.0;1.0;0.0;48.0;4.0
org.apache.commons.pool2.impl.CallStackUtils;0.0;13.0;1.0;6.0;8.0;3.0;62.0;0.6666666666666667;1.0;13.0;2.0
org.apache.commons.pool2.impl.LinkedBlockingDeque$Node;0.0;4.0;1.0;0.0;0.0;0.0;33.0;1.0;0.0;0.0;1.0
org.apache.commons.pool2.impl.BaseGenericObjectPool;2.0;76.0;2.0;129.0;57.0;1939.0;1355.0;0.9605034722222222;0.9757495590828924;64.0;4.0
org.apache.commons.pool2.PoolUtils$SynchronizedPooledObjectFactory;0.0;18.0;1.0;17.0;3.0;0.0;101.0;0.08333333333333337;0.1;0.0;1.0
org.apache.commons.pool2.impl.BaseObjectPoolConfig;2.0;15.0;2.0;41.0;18.0;616.0;717.0;0.9598455598455599;0.9865079365079364;14.0;10.0
org.apache.commons.pool2.impl.BaseGenericObjectPool$EvictionIterator;0.0;13.0;1.0;7.0;3.0;3.0;44.0;0.5;0.6666666666666666;0.0;3.0
org.apache.commons.pool2.impl.SecurityManagerCallStack;0.0;29.0;1.0;9.0;8.0;0.0;91.0;0.5;0.75;27.0;2.0
org.apache.commons.pool2.proxy.BaseProxyHandler;2.0;15.0;1.0;14.0;7.0;3.0;89.0;0.4;0.5;13.0;5.0
org.apache.commons.pool2.impl.GenericKeyedObjectPool$ObjectDeque;0.0;18.0;1.0;8.0;5.0;6.0;88.0;0.7333333333333334;0.9166666666666667;0.0;1.0
