CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.validator.util.ValidatorUtils;0.0;31.0;1.0;26.0;44.0;6.0;156.0;0.75;1.0;25.0;3.0
org.apache.commons.validator.routines.IBANValidator;0.0;17.0;1.0;17.0;26.0;23.0;262.0;0.7083333333333333;0.8095238095238094;16.0;1.0
org.apache.commons.validator.CreditCardValidator$Amex;0.0;8.0;1.0;4.0;3.0;0.0;6.0;0.0;0.0;0.0;1.0
org.apache.commons.validator.ValidatorResult;0.0;17.0;1.0;17.0;8.0;13.0;172.0;0.7083333333333333;0.8095238095238094;16.0;3.0
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit;0.0;11.0;2.0;6.0;10.0;2.0;71.0;0.75;1.125;11.0;1.0
org.apache.commons.validator.routines.CodeValidator;0.0;10.0;1.0;10.0;28.0;11.0;212.0;0.7333333333333334;0.8800000000000001;10.0;4.0
org.apache.commons.validator.Var;0.0;14.0;1.0;16.0;8.0;51.0;189.0;0.8611111111111112;0.9393939393939394;14.0;3.0
org.apache.commons.validator.Form;0.0;31.0;1.0;47.0;34.0;94.0;310.0;0.8229166666666666;0.8777777777777778;24.0;4.0
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit;0.0;7.0;2.0;1.0;2.0;0.0;35.0;0.6666666666666667;0.6666666666666667;7.0;2.0
org.apache.commons.validator.ValidatorAction;0.0;48.0;1.0;104.0;79.0;615.0;749.0;0.9268680445151033;0.9526143790849674;44.0;4.0
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit;0.0;13.0;1.0;8.0;20.0;3.0;94.0;0.8;1.2;13.0;1.0
org.apache.commons.validator.ValidatorResults;0.0;20.0;1.0;24.0;10.0;7.0;118.0;0.5625;0.6428571428571429;16.0;5.0
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit;0.0;10.0;2.0;5.0;11.0;3.0;69.0;1.0;1.5;10.0;3.0
